repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,w_simplicity,tests
aleixmorgadas/thin-ports-and-adapters,0,0.0,0,1,1,0.0,-0.65,20.0
Tushar-Kapil/DSA-Notes,0,0.0,0,1,0,0.0,1.0,0.0
Gayanukaa/Spring-Boot-Playground,0,4.0,0,2,0,0.0,1.0,0.0
ENATION-UK/page-builder,1,0.0,0,1,0,0.0,1.0,2.0
ThomasVitale/langchain4j-spring-boot,16,5.0,4,1,1,0.0,-1.4,57.0
sqlparser/java_data_lineage,0,0.0,1,1,0,0.0,1.0,0.0
uaoan/DkPlayer,3,0.0,3,1,0,0.0,1.0,2.0
MEEPofFaith/hallucinogen,8,0.0,0,1,1,0.0,-0.9,0.0
dee-coder01/BusBuddy,0,17.0,0,11,1,0.0,-0.65,22.0
thomasdarimont/keycloak-opa-authz-demo,0,1.0,0,1,0,0.0,1.0,0.0
ErayMert/microservice-log-tracing,0,0.0,0,1,0,0.0,1.0,0.0
5ec1cff/CopySign,0,0.0,0,1,0,0.0,1.0,0.0
borjavb/bq-lineage-tool,0,0.0,1,1,0,0.0,1.0,37.0
MetaGLM/zhipuai-sdk-java-v4,0,15.0,8,14,0,0.0,1.0,46.0
SearchScale/lucene-cuvs,0,7.0,1,7,0,0.0,1.0,0.0
digitalfondue/mjml4j,1,1.0,3,2,2,1.0,-2.3,8.0
CollaBu/pennyway-was,62,190.0,3,6,6,0.0,-12.25,366.0
habuma/spring-ai-examples,0,1.0,1,2,0,0.0,1.0,0.0
chiteroman/FrameworkPatch,1,2.0,0,1,0,0.0,1.0,0.0
LadyJessie19/MyFood,0,0.0,0,1,0,0.0,1.0,0.0
CRLauncher/CRLauncher,51,13.0,0,1,0,0.0,1.0,0.0
Hunterdii/GeeksforGeeks-POTD,0,14.0,0,1,0,0.0,1.0,0.0
arconia-io/arconia,5,0.0,9,1,1,0.0,-1.4,0.0
Ahmad45123/workup,0,79.0,0,10,2,0.0,-4.7,1.0
SarthakChaudhary46/100-Days-Of-CODE,0,0.0,0,1,0,0.0,1.0,0.0
linux-china/sieve-cache,1,0.0,1,1,0,0.0,1.0,3.0
Stark-8/text-encryption-AES,0,0.0,0,1,0,0.0,1.0,2.0
Bram1903/AntiHealthIndicator,16,0.0,1,3,2,0.0,-2.95,0.0
