repo,score
krondorl/polyglot-programming,30.0
rouzbehsbz/bitblade,30.0
tomsanbear/candle-einops,120.0
ENATION-UK/page-builder,80.0
QEDProtocol/plonky2.5,45.0
kpcyrd/backseat-signed,157.5
5ec1cff/CopySign,30.0
khyerdev/tcobalt,342.5
krepa098/esdf-vis,60.0
db-keli/kelvin,300.0
jon-mil-92/DisplayHotKeys,430.0
Lagrange-Labs/reckle-trees,30.0
Michael-F-Bryan/wit-lsp,587.5
jonhoo/codecrafters-git-rust,52.5
amaseng/myinvois-open-sdk,217.5
SearchScale/lucene-cuvs,202.5
alessandrome/YAEmulator-GB-Rust,240.0
icedpygui/IcedPyGui,415.0
idlab-discover/usb-wasm,60.0
distributed-lab/bp-pp,110.0
MeadowlarkDAW/rootvg,117.5
lhccong/sql-slow-mirror,80.0
wllfaria/hac,662.5
igumnoff/metatron,135.0
IceDynamix/reliquary-archiver,1027.5
roboplc/roboplc,30.0
fuzzland/girlfriend,42.5
HChenX/HookTool,1127.5
CRLauncher/CRLauncher,2512.5
chiteroman/FrameworkPatch,95.0
beyond-aion/aion-server,190.0
lavalink-devs/youtube-source,1460.0
ax1sX/RouteCheck-Alpha,122.5
Lambdua/openai4j,1455.0
Hunterdii/GeeksforGeeks-POTD,120.0
matrix-tang/Futures-Spot-Arbitrage-Binance-V1,62.5
njfio/fluent_cli,1207.5
garlic-bred/easy-bedrock-breaker,102.5
ahmedaliibrahim01/TourismAgencyManagementSystem,30.0
halilibrahimsaltas/TourismAgency,30.0
alpaylan/devy,30.0
backengineering/elderscroll,30.0
glaforge/gemini-workshop-for-java-developers,100.0
UMEssen/DICOM-RST,312.5
5cmc/grim-trident,255.0
Abraxas-365/open-gh-copilot,30.0
promised-ai/rv,1152.5
ElNiak/cupp-rs,105.0
harryjackson/llm.java,90.0
cuppachino/bevy_logic,665.0
Intersubjective/riblt-rust,140.0
bnb-chain/reth,2800.0
eclipse-4diac/4diac-ide,5900.0
codyduong/hitokage,545.0
antithesishq/antithesis-sdk-rust,597.5
TennyZhuang/const-currying-rs,50.0
JacobCallahan/Hussh,760.0
Jaammerr/SOL_MultiSender,30.0
roberte777/rbonsai,30.0
TusKANNy/seismic,122.5
Tomiyou/ivyterm,160.0
AmrDeveloper/ClangQL,280.0
Pilfer/hermes_rs,112.5
darko-mesaros/shuk,317.5
ErrorxCode/JxInsta,152.5
komora-io/terrors,127.5
zeta0134/rustico,150.0
ynqa/jnv,1047.5
nervosnetwork/fiber,2397.5
zeozeozeo/ellama,547.5
robinvandernoord/uvenv,440.0
bluskript/nix-inspect,130.0
