repo,releases,pulls,open_issues,branches,workflows,has_release_workflow
cedricp/ecutweaker,3,2.0,1,1,1,False
kousen/springaiexamples,0,0.0,0,1,0,False
edera-dev/krata,19,153.0,6,6,2,False
mrsobakin/dpimyass,1,3.0,2,2,1,True
dexterlaboss/archival-rpc,18,0.0,2,1,1,True
oviva-ag/ehealthid-relying-party,23,71.0,3,47,5,True
worldcoin/orb-software,49,299.0,1,35,8,True
ymgyt/syndicationd,34,16.0,5,2,7,True
manusa/helm-java,14,69.0,9,1,3,True
bytecodealliance/wrpc,19,270.0,21,1,4,True
FuelLabs/fuel-subgraph,0,32.0,9,2,2,True
zjp-CN/term-rustdoc,2,0.0,13,2,1,True
matthias-buttgereit/ta-rss,0,0.0,3,2,0,False
yavko/rat-rs,0,1.0,3,1,2,False
ErayMert/microservice-log-tracing,0,0.0,0,1,0,False
hseager/you-are-merlin,2,3.0,1,1,0,False
aleixmorgadas/thin-ports-and-adapters,0,0.0,0,1,1,False
Tushar-Kapil/DSA-Notes,0,0.0,0,1,0,False
GigaDAO/openbook,4,12.0,2,6,0,False
ryandotelliott/cosmos-cli,0,0.0,0,1,0,False
corrode/four-horsemen-talk,0,0.0,0,1,0,False
AvailX/avail-wallet,28,70.0,14,86,4,False
envicutor/envicutor,0,1.0,2,3,1,False
appsignal/actions-runner,4,1.0,0,2,2,False
sqlparser/java_data_lineage,0,0.0,1,1,0,False
uaoan/DkPlayer,3,0.0,3,1,0,False
manhunto/webhooks-rs,0,0.0,2,1,3,False
Ragarnoy/a121-rs,1,47.0,14,3,3,False
Handfish/confetty_rs,0,0.0,1,2,0,False
slotThe/rq,1,3.0,0,1,0,False
AFLplusplus/libafl_qemu_artifacts,0,0.0,1,1,0,False
JaghataiV/Uniswap_arb_bot,0,0.0,1,1,0,False
paradigmxyz/alphanet,0,127.0,3,4,6,True
MEEPofFaith/hallucinogen,8,0.0,0,1,1,False
nferhat/fht-compositor,2,2.0,4,3,0,False
dee-coder01/BusBuddy,0,17.0,0,11,1,False
0vercl0k/snapshot,5,9.0,0,1,1,False
rails/rails-new,6,24.0,7,3,2,False
thomasdarimont/keycloak-opa-authz-demo,0,1.0,0,1,0,False
mondeja/leptos-fluent,50,163.0,17,9,3,True
mintlu8/bevy_stat_query,0,0.0,0,2,0,False
mintlu8/bevy_serde_lens,1,6.0,0,8,0,False
mistricky/codesnap.nvim,37,80.0,15,2,5,False
rzukic/zed-latex,5,22.0,5,1,0,False
zed-extensions/java,1,10.0,1,1,0,False
EricLBuehler/mistral.rs,36,649.0,62,32,5,True
bitcoin-dev-project/bitcoiner-intro-to-rust,0,34.0,2,2,0,False
CollaBu/pennyway-was,61,188.0,3,6,6,False
actuate-rs/actuate,47,57.0,6,4,1,False
Ahmad45123/workup,0,79.0,0,10,2,False
Kir-Antipov/cubes-without-borders,28,7.0,3,14,2,True
menonsamir/ypir,0,1.0,2,6,0,False
lcpu-club/rust_learning_group,0,6.0,0,1,0,False
Hejow/easy-restdocs-generator,4,1.0,0,2,0,False
nikstur/nix-store-veritysetup-generator,1,1.0,0,1,1,False
iondodon/i3-switcher-x11,9,1.0,8,1,0,False
CRANKV2/STRP-Profile-App,0,0.0,0,1,0,False
tweag/remote-execution-nix,0,0.0,0,2,0,False
boringthegod/AzureEmailChecker,2,0.0,0,1,0,False
Vadym79/AWSLambdaJavaWithSpringBoot,0,0.0,0,1,0,False
dimpdash/bevy_erm,0,0.0,1,2,0,False
phyce/rl-natural-speech,1,1.0,6,8,0,False
paritytech/psvm,0,18.0,4,4,1,False
Smart-Home-Guard/tempusalert-be,0,151.0,0,1,2,False
anddea/revanced-integrations,100,35.0,0,3,3,False
Reknij/elerp,0,0.0,0,2,1,False
cavemanloverboy/nanotoken,0,0.0,1,2,0,False
servo/stylo,0,80.0,5,24,3,False
GreenJAB/fixed-minecraft,0,15.0,1,3,0,False
automesh-network/netstack-smoltcp,4,9.0,2,1,2,True
anagrambuild/bonsol,0,57.0,24,24,6,True
fermyon/enterprise-architectures-and-patterns,0,7.0,0,1,1,False
bytecodealliance/wamr-rust-sdk,2,37.0,3,3,1,False
stalwartlabs/webadmin,20,8.0,22,1,1,True
walimorris/opensquare,0,0.0,0,1,0,False
yiyuan9/abitoflink,0,21.0,0,4,0,False
dvhar/pikeru,0,0.0,2,2,0,False
ellie-sleightholm/vercel-rust,0,4.0,0,2,0,False
yongkangc/Solidity-Gas-Optimizoor,0,2.0,0,1,0,False
HexArchBook/bluezone_pro,0,0.0,0,1,0,False
cleverbase/scal3,1,3.0,0,1,0,False
berzanorg/nacho,0,0.0,0,1,2,False
nidhoggfgg/rsille,0,0.0,0,3,0,False
pinterest/tiered-storage,0,5.0,0,10,1,False
YPares/nih-faust-jit,0,7.0,0,4,0,False
aarc-rs/aarc,0,2.0,0,4,1,False
prakarshs/Jhethia,0,1.0,0,2,0,False
AdamISZ/aut-ct,9,1.0,8,5,2,True
carloskiki/pulldown-latex,11,13.0,2,4,5,True
noxware/hframe,6,4.0,6,24,1,False
dividebysandwich/LightningView,15,1.0,4,1,1,False
talss89/sprout,6,19.0,4,3,3,True
compolabs/orderbook-contract,11,125.0,0,28,0,False
orsinium-labs/gamgee,0,0.0,0,1,0,False
NguyenDuck/blocktopograph,1,19.0,7,2,1,False
Sofianel5/zk-img-editor,0,0.0,0,1,0,False
e1732a364fed/ruci,12,1.0,0,2,5,False
Cvrws/Haru,5,5.0,0,1,1,False
DevBobcorn/AcryliCraft,11,18.0,1,5,0,False
burukeYou/fast-retry,0,0.0,2,1,0,False
Anjaligaddamidi/javalab,0,2.0,0,1,0,False
StardustXR/kiara,0,2.0,0,2,0,False
Basillica/csv-grep,0,0.0,0,1,0,False
PoOnesNerfect/jlf,0,0.0,0,3,0,False
magnetophon/lamb-rs,5,4.0,0,8,1,True
bonsairobo/bevy_metrics_dashboard,0,0.0,0,2,0,False
rhombusgg/rhombus,0,12.0,1,7,4,False
serifpersia/esp32partitiontool,6,8.0,0,1,1,True
antroids/egui-shape-editor,0,0.0,0,2,0,False
HigherOrderCO/TSPL,0,4.0,0,2,0,False
TimothyYe/knock-rs,3,1.0,1,2,3,True
Shrecknt/snowstorm,0,0.0,1,1,0,False
buffdb/buffdb,0,2.0,7,3,0,False
JunbeomL22/trusted,0,6.0,0,7,0,False
ACEnglish/kanpig,4,0.0,0,5,1,False
uprockcom/ido-protocol,0,0.0,0,1,0,False
a2x/cs2-analyzer,0,0.0,0,2,1,False
cryscan/web-rwkv-realweb,0,1.0,0,1,1,False
ynqa/j9,5,4.0,1,1,1,False
FloatyMonkey/slang-rs,0,1.0,1,1,0,False
krukah/robopoker,0,5.0,3,8,1,False
nur-taskrunner/nur,38,16.0,3,1,4,True
Speykious/cve-rs,1,16.0,13,4,1,False
naasblod/bevy_contact_projective_decals,0,4.0,5,2,0,False
informalsystems/cosmwasm-to-quint,0,12.0,1,2,1,False
voidpumpkin/structural-convert,0,0.0,5,1,0,False
succinctlabs/sp1-reth,0,5.0,2,9,0,False
undermad/diet-generator-api,0,17.0,0,4,3,False
utilForever/2024-Konkuk-Rust-Roguelike,0,16.0,0,1,0,False
970263611/redisx,3,12.0,1,7,0,False
KhushPatibandha/RiceDB,0,0.0,0,2,0,False
zombie-einstein/bourse,7,24.0,0,1,2,False
UPB-FILS-MA/upb-fils-ma.github.io,0,472.0,5,108,3,False
akx/preco,0,0.0,0,1,1,False
PufferFinance/coral,3,36.0,1,4,3,False
zxch3n/lww-table,0,0.0,0,1,0,False
jts/smrest,1,0.0,2,1,1,False
gwen-lg/subtile-ocr,1,0.0,0,5,1,False
zk-steve/rust-web-api-microservice-template,0,21.0,11,6,3,False
GitGhillie/phonon_rs,1,33.0,1,2,1,False
Leinnan/bevy_simple_scroll_view,1,1.0,1,2,2,True
3uild-3thos/valid8,1,3.0,0,1,1,True
wh-xu/Hyper-Gen,1,4.0,2,4,0,False
StratusFearMe21/egui-glyphon,0,1.0,0,1,0,False
openfga/spring-boot-starter,1,31.0,4,7,3,False
HeliosMinecraft/HeliosClient,1,0.0,0,1,1,False
VictorModi/Lyrics-Getter-Ext,1,10.0,6,1,1,False
MathItYT/mathlikeanim-rs,0,0.0,2,8,0,False
gaucho-labs/tailwind-fuse,4,17.0,2,3,1,False
containers/krunkit,5,14.0,1,1,1,False
EasyDarwin/EasyGBD,0,0.0,1,1,0,False
villor/bevy_lookup_curve,0,7.0,8,4,1,False
OpenZeppelin/rust-contracts-stylus,3,218.0,57,38,13,True
risc0/risc0-ethereum,12,213.0,24,44,3,False
jgraef/reqwest-websocket,0,14.0,4,7,1,False
s00d/tauri-plugin-serialplugin,1,3.0,0,1,0,False
danvega/fcc-spring-boot-3,0,0.0,1,1,0,False
UdaraJay/Stats,0,2.0,1,1,0,False
m1sterc001guy/roastr,0,4.0,1,3,1,True
unfastener/juggler-in-rust,1,0.0,0,1,0,False
SemyonSinchenko/spark-connect-example,0,0.0,1,1,0,False
TannerReynolds/Helldivers2-Macro-Engine,1,5.0,4,1,0,False
Tvenus/blockchain,0,0.0,0,1,0,False
pw-order-of-devs/rusty_ops,0,2.0,0,3,1,False
guybedo/sugar,0,1.0,0,2,0,False
11bit/zed-extension-graphql,0,2.0,1,1,1,True
gamedolphin/speakwith,0,2.0,19,1,1,False
IogaMaster/warden,0,16.0,1,2,3,False
anthias-labs/univ3-kit,0,18.0,3,12,3,False
MobinaMhr/Compiler-Course-Projects-S2024,0,0.0,0,1,0,False
oldmanpushcart/dashscope4j,7,8.0,3,2,0,False
chaosprint/asak,1,4.0,10,1,2,True
dflemstr/femtopb,0,0.0,0,1,1,False
tatounee/ratatui-explorer,2,1.0,1,1,0,False
offici5l/MiBypassTool,3,0.0,3,1,2,False
Heltion/anti-hash,0,0.0,2,1,1,False
i18n-site/rust,4,0.0,0,2,5,True
jdubois/jdubois-langchain4j-demo,0,3.0,0,4,0,False
exa04/cyma,0,17.0,5,2,3,False
tdakhran/razer-ctl,2,6.0,10,1,1,False
jumbledFox/minesweeper,0,1.0,1,1,0,False
MatthiasGrandl/Loungy,4,11.0,10,3,1,True
MystenLabs/sui-rust-sdk,0,63.0,1,11,2,False
welpo/git-sumi,8,5.0,2,2,4,True
aclysma/hydrate,0,0.0,0,1,0,False
ashvardanian/memchr_vs_stringzilla,0,0.0,0,1,0,False
slyedoc/bevy_sly_compute,0,1.0,2,3,0,False
NillionNetwork/ripple,0,1.0,0,1,1,False
HaHaWTH/HAProxy-Detector,1,0.0,0,1,1,False
Nordgaren/tabstate-util,0,1.0,2,1,0,False
GodOfAvacyn/gdshader-lsp,1,1.0,4,1,0,False
Jazarro/bevy_ineffable,0,2.0,1,3,1,False
AkashKobal/java-full-stack-developement,1,23.0,0,23,2,False
duanebester/gpui-list,0,1.0,0,1,0,False
replit/rippkgs,3,29.0,5,1,1,False
lavafroth/tempest,2,5.0,0,2,0,False
frankfralick/dripgrep,0,0.0,0,1,0,False
DelSkayn/reblessive,0,1.0,1,2,4,False
osmosis-labs/orderbook,0,88.0,2,9,1,False
dzaima/grr,0,0.0,0,1,0,False
wingbackapp/kind,2,10.0,0,9,3,True
Naxdy/latency-slider-de,10,7.0,1,6,2,False
pace-rs/pace,75,60.0,10,5,7,True
Kezii/esp32cam_rs,0,3.0,0,2,1,False
iynaix/wfetch,0,0.0,0,1,0,False
holochain/wind-tunnel,1,100.0,17,13,4,False
breez/breez-sdk-liquid,10,373.0,32,57,18,False
chiyuki0325/lyrica,12,3.0,0,2,0,False
FedericoBruzzone/tgt,1,6.0,9,1,6,True
KittyCAD/delouse,0,3.0,0,7,4,False
fjall-rs/value-log,8,3.0,3,2,2,False
ollama4j/ollama4j-web-ui,4,2.0,1,1,1,True
gama-platform/gama,2,71.0,92,17,16,False
I-CAN-hack/automotive,3,38.0,14,12,3,False
blumek/aura-tower,0,0.0,0,1,0,False
renmeijian/HealthChecker,0,1.0,0,1,0,False
armankhondker/leetcode-solutions,0,0.0,0,1,0,False
clarkmoody/txoutset,0,5.0,0,1,0,False
mmd-nemati/Compiler-Course-Projects-F2023,0,0.0,0,1,0,False
rot256/research-we-kzg,0,0.0,0,2,0,False
DiscreteTom/boruto,0,0.0,0,1,0,False
pavlospt/ergani-rust-sdk,0,8.0,0,7,2,False
EladLeev/KeyToField-smt,2,3.0,1,8,2,True
alexpusch/rust-stream-vis,0,0.0,0,1,0,False
xxxbrian/cserun,2,1.0,0,1,0,False
Direwolf20-MC/JustDireThings,0,61.0,62,2,1,False
ndancing/bitcask,0,0.0,0,1,0,False
joshka/tui-markdown,34,26.0,0,1,3,False
brian7704/OpenTAK_ICU,10,1.0,6,3,0,False
dwallet-labs/dwallet-network,0,170.0,70,54,3,False
vsbuffalo/granges,0,2.0,8,6,1,False
antiguru/flatcontainer,5,62.0,2,20,4,False
not-matthias/vmprotect-rs,0,0.0,0,1,0,False
danvega/spring-common-mistakes,0,0.0,1,11,0,False
maddymakesgames/celeste_rs,13,0.0,0,2,3,True
Magix-Archive/GC-Universe,0,0.0,0,1,0,False
coralblocks/CoralProto,0,0.0,0,1,0,False
WizardOfMenlo/stir,0,4.0,0,1,0,False
tippfehlr/composehook,1,0.0,1,1,1,True
gulbanana/gg,9,6.0,0,5,2,False
marcelohdez/dim,3,8.0,1,1,1,False
fundgao/awesome-crypto,0,0.0,2,1,0,False
ratatui/crates-tui,5,53.0,1,5,3,True
rust-adventure/thisweekinbevy,40,3.0,5,1,3,False
groovybits/rsllm,22,25.0,0,1,1,False
Whitecat18/Rust-for-Malware-Development,1,1.0,0,1,0,False
BurntSushi/jiff,0,59.0,40,3,1,False
Kacperacy/RustEdit,0,0.0,0,1,1,False
cezarysanecki/parking-domain,0,169.0,1,3,1,False
zama-ai/verifiable-fhe-paper,0,1.0,1,2,0,False
SandhyaMadhunagula/Javalab,0,1.0,0,2,0,False
google-checks/checks-jenkins-plugin,0,0.0,0,6,1,False
evpl/jkscope,5,0.0,0,1,1,False
rust-hermes/rusty_hermes,0,0.0,1,1,1,False
GyulyVGC/listeners,3,2.0,1,1,1,False
semih-turan/The-Full-Stack-Web-Development-Bootcamp,0,0.0,0,1,0,False
jpgonzalezra/chain-indexer-monorepo,0,0.0,0,1,0,False
oqc-community/rasqal,8,71.0,11,4,4,False
mathematic-inc/unfmt,13,19.0,1,5,2,True
weilueluo/tsm4j,0,14.0,0,1,0,False
conduition/dlctix,0,0.0,0,1,0,False
Schottkyc137/ginko,8,12.0,4,7,1,True
vsouzx/Events-Driven-Ecommerce,0,0.0,1,1,0,False
dwallet-labs/2pc-mpc,0,24.0,0,5,1,False
ricott1/sshattrick,1,1.0,3,3,0,False
kul-sudo/eportal,3,1.0,0,3,0,False
Andeskjerf/waybar-module-pomodoro,0,11.0,1,1,1,False
Xu-Mj/sandcat,0,76.0,0,1,0,False
mytang0/brook,1,9.0,0,7,2,False
981213/mtk_uartboot,2,0.0,2,1,2,True
MateusRodCosta/bign-handheld-thumbnailer,5,3.0,0,3,0,False
drift-labs/drift-rs,0,64.0,6,14,2,True
apersomany/libcfd,0,3.0,0,2,0,False
erupts/Linq.J,5,7.0,0,2,0,False
elodin-sys/elodin,0,13.0,2,16,0,False
Bluemangoo/Pingpong,6,9.0,0,3,2,False
helius-labs/photon,0,251.0,0,49,2,False
datafusion-contrib/datafusion-federation,0,61.0,5,7,3,False
stephanj/BM25,0,2.0,0,3,0,False
AmrDeveloper/FileQL,9,0.0,0,1,2,True
ironcalc/TironCalc,0,3.0,0,1,1,False
Linus-Mussmaecher/rucola,4,1.0,1,1,2,True
AndroidIDE-CN/AIDE-Plus,9,1.0,3,7,0,False
rerun-io/revy,4,3.0,0,2,4,False
andrewgazelka/hyperion,0,270.0,21,3,2,False
jimmyjames/fga-spring-examples,0,11.0,5,2,1,False
github-language-server/github-lsp,2,17.0,4,6,2,True
Erk-/programmable-fonts,0,0.0,0,1,0,False
remi-dupre/pinix,0,4.0,1,1,1,False
fprasx/cargo-unfmt,0,1.0,3,2,0,False
Kharos102/ReadWriteDriverSample,0,0.0,0,1,0,False
yaaliuzhipeng/fast-mlkit-translate-text,0,0.0,1,1,1,False
MangoTzara/rfz,0,0.0,0,6,0,False
justjanne/fcmlib,0,0.0,0,1,1,False
holochain/holochain-serialization-python,0,0.0,0,1,1,True
KeKsBoTer/wgpu_sort,0,0.0,1,1,0,False
Interstellar-Relay-Community/budae-jjigae,0,4.0,2,3,0,False
mariofusco/quarkus-drools-llm,0,3.0,0,5,0,False
fuzzland/revm-fork-db,0,0.0,0,3,0,False
ggand0/viewskater,2,7.0,2,11,0,False
abstractqqq/polars_istr,3,13.0,1,3,1,True
pangenome/impg,2,20.0,2,14,1,False
Kehrlann/spring-boot-testing,0,0.0,0,4,0,False
nilaysavant/bevy_pmetra,2,1.0,0,24,0,False
afsalashyana/Spring-Boot-Tutorials,0,1.0,0,1,0,False
darko-mesaros/bedrust,7,32.0,6,15,1,False
mitang0320/leetcodeHot100,0,0.0,0,1,0,False
claudiomattera/esp32c3-embassy,0,1.0,0,4,0,False
tomalbrc/blockbench-import-library,5,0.0,1,8,1,False
burukeYou/spring-smart-di,0,0.0,1,1,0,False
segment-anything-models-java/SAMJ-IJ,0,9.0,11,2,1,True
davidlattimore/wild,1,137.0,24,6,2,True
quarylabs/quary,57,369.0,21,143,4,True
SeekStorm/SeekStorm,29,3.0,3,1,0,False
longerye/im-chat,0,1.0,0,4,0,False
kasugamirai/git_commit_gen,0,0.0,0,1,0,False
eholum/rustplanning,0,1.0,2,2,1,False
DelphinusLab/zkWasm-prover,0,9.0,0,24,0,False
Lagrange-Labs/plonky2-recursion,0,1.0,0,1,0,False
aws/amazon-gamelift-agent,3,10.0,4,4,1,False
adsnaider/qshell,0,0.0,4,1,1,False
tier4/icp_rust,0,5.0,0,2,1,False
tom-whitehead/hdbscan,0,33.0,0,2,1,True
anusikh/jvem,6,16.0,0,1,1,True
JohanNorberg/zero_ecs,0,5.0,0,1,2,False
sayxiaoyan/XiaoRanLiu3119-TVBoxMobile,0,0.0,0,2,1,False
Kudaes/Shelter,0,1.0,0,1,0,False
spring-tips/spring-authorization-server,0,0.0,1,1,0,False
jhannyj/iced_drop,0,7.0,0,1,1,False
boa-dev/temporal,3,80.0,19,10,2,True
ilyagr/diffedit3,8,1.0,1,20,2,False
eclipse-tracecompass/org.eclipse.tracecompass,0,162.0,10,46,4,False
luishsr/rust-nft-api,0,1.0,0,1,1,False
mindeng/nom-exif,19,10.0,8,2,1,False
ABC-Engine/lumenpyx,2,3.0,1,1,0,False
ch32-rs/ch32-hal,0,37.0,13,2,2,False
sunfishcode/hello-embedded,0,3.0,1,1,0,False
ColdeZhang/Dominion,54,10.0,6,5,3,True
hougesen/mdsf,22,407.0,15,2,4,True
shmuelzon/home-assistant-floor-plan,16,54.0,8,1,1,False
CompassSecurity/jwt-scanner,5,3.0,2,4,0,False
Julien-cpsn/ATAC,31,52.0,11,8,4,True
BodhiSearch/BodhiApp,14,0.0,2,3,3,True
UkoeHB/bevy_cobweb_ui,0,4.0,3,2,0,False
iotaledger/iota,17,2092.0,329,144,43,True
vsbuffalo/genomap,1,1.0,1,1,1,False
Tenteed/homespaces,1,0.0,0,1,0,False
kyleloving/osm_graph,0,1.0,0,2,0,False
wata-orz/santa2023_permutation_puzzle,0,0.0,0,1,0,False
scristobal/cross-compiling-rust-c-wasm-zig,0,0.0,0,1,0,False
yubb-ai/unofficial-gpt4,10,0.0,0,1,3,False
codeaashu/JAVA-Programming-Challenge,0,0.0,0,1,0,False
wiseaidev/openpilot,0,4.0,0,3,1,False
nifty-oss/asset,7,83.0,0,2,13,False
TiagoFar78/PrisonEscape,2,143.0,13,1,1,False
SorenHolstHansen/leptos_toaster,7,15.0,4,2,2,False
Naxdy/less-delay,2,2.0,0,3,0,False
443eb9/bevy_incandescent,2,1.0,1,2,0,False
xmoezzz/rfvp,0,3.0,1,4,0,False
mikecvet/nl-sh,4,1.0,0,1,1,False
hpmicro/hpm-hal,0,37.0,4,8,1,False
bowbahdoe/jdbc,11,0.0,0,1,2,True
ryanweideman/3d-terminal-renderer,0,0.0,2,1,1,False
codersauce/red,0,17.0,21,4,0,False
ChloePrime/AAAParticles,18,8.0,12,5,0,False
sensorial-systems/stable-diffusion,0,2.0,10,2,0,False
geph-official/geph5,2,12.0,7,10,2,False
moxin-org/moly,10,265.0,15,34,2,False
jadijadi/riverraidrust,0,41.0,21,1,0,False
AllayMC/EncryptMyPack,0,1.0,1,1,1,False
Noxde/Bloodborne-save-editor,4,2.0,6,1,1,True
spiraldb/vortex,16,1048.0,113,85,7,False
microsoft/openvmm,0,350.0,56,2,5,False
rust-bitcoin/bip324,0,85.0,0,1,1,False
ahkohd/tauri-macos-menubar-app-example,0,8.0,1,6,0,False
thibmeu/tlock-worker,0,0.0,0,1,0,False
gold-silver-copper/deprecated_old_bevy_ratatui,0,2.0,0,4,1,False
yash-atreya/reth-walk-storage,0,0.0,0,1,0,False
rayros/respicta,0,7.0,0,2,3,False
trvswgnr/dynamic_object,0,1.0,0,1,0,False
helius-labs/rwa-indexer,0,1.0,0,1,0,False
darksolopic/PasswordManagerGUI,0,0.0,0,1,0,False
MatrixSenpai/sw4rm-rs,0,10.0,0,5,2,True
fastnear/fastnear-api-server-rs,0,7.0,3,5,0,False
LekKit/ScalarEvolution,0,0.0,3,1,2,True
bc-m/fm-xml-export-exploder,10,44.0,3,4,2,True
crystoll/musashi,0,0.0,0,1,0,False
everbuild-org/lucide-gpui,0,0.0,0,1,1,False
sumoduduk/terminusdm,3,0.0,0,5,0,False
cavemanloverboy/solana-nostd-entrypoint,0,8.0,2,1,0,False
gnattu/p2p-clipboard,1,0.0,1,1,0,False
swlkr/ryde,3,2.0,0,1,1,False
Swoorup/wgsl-bindgen,8,26.0,12,4,1,False
15911075183ma/java-onnx-yolo,0,0.0,0,1,0,False
PKU-OS/Tacos,0,1.0,1,1,0,False
aedm/esp32-s3-rust-axum-example,0,1.0,0,1,0,False
bennamrouche/irc-tester,0,2.0,0,2,0,False
false-spring/gbfr-logs,26,64.0,29,3,1,False
weiji14/cog3pio,0,20.0,1,1,2,True
Xu-Mj/sandcat-backend,0,38.0,2,3,1,False
compio-rs/winio,0,12.0,1,1,0,False
tomtomwombat/fastbloom,0,6.0,1,1,1,False
crates-pro/crates-pro,0,69.0,13,1,1,False
awolverp/cachebox,29,5.0,1,1,2,False
ezyang/tlparse,0,51.0,25,77,1,True
spinkube/containerd-shim-spin,11,102.0,36,11,5,True
wisemapping/wisemapping-open-source,0,1.0,7,2,1,False
SnowCutieOwO/Continue,0,2.0,0,1,0,False
opensound-org/opensound,1,0.0,2,1,1,False
ArthurBrussee/brush,1,14.0,26,9,1,False
shell-pool/shpool,5,81.0,19,20,4,True
Shawnarun/DevelopersStack-OpenSourceNexus,0,94.0,0,2,0,False
Gameye98/xtrspc,1,0.0,0,1,0,False
MemoryZy/ZhiYouToolkit,4,0.0,1,4,2,False
uladzimirFilipchanka/noredraw,2,7.0,0,8,0,False
Vaibhavs10/fast-llm.rs,0,3.0,1,1,0,False
enviodev/local-hyperrpc,0,4.0,1,1,0,False
TwentyTwoHW/portal-software,0,24.0,8,1,2,False
insdexer/insdexer,0,33.0,0,1,1,True
HigherOrderCO/kind2-archive,0,20.0,2,4,0,False
eaglerforge/EaglerForge-old,0,16.0,6,4,0,False
artsiomkorzun/1brc-walkthrough,0,0.0,0,1,0,False
tony-xlh/vision-camera-cropper,6,1.0,4,2,0,False
SpringBootCourses/cqrs-banking-app,0,33.0,5,7,1,False
idlab-discover/RustiFlow,2,49.0,1,7,3,False
afsalthaj/golem-timeline,0,41.0,25,37,2,False
jsStar580/world_of_mathematic,0,0.0,0,3,4,False
SightStudio/jOOQ-inflearn,0,0.0,0,1,0,False
SatvikNema/satchat,0,3.0,0,3,1,False
TuckerBMorgan/poro,0,0.0,0,1,0,False
mssanamateen/OOP-using-Java,0,27.0,0,3,0,False
FaisalBinAhmed/MeiliFinder,0,2.0,1,3,0,False
wayland-transpositor/wprs,0,48.0,5,16,3,False
ElaBosak233/cdsctf,0,2.0,0,1,1,False
linkedin/openhouse,0,246.0,10,21,1,False
catacombing/kumo,0,1.0,3,2,0,False
jsr-io/jsr,0,360.0,180,17,3,False
0xPolygonZero/zk_evm,7,503.0,83,65,13,False
primitivefinance/DFMM,3,92.0,24,27,2,False
flynndi/quarkus-jimmer-extension,41,437.0,0,18,5,False
theseus-rs/postgresql-embedded,47,119.0,0,1,5,False
Fatimakhan0/javalab,0,21.0,0,7,0,False
qpackt/qpackt,0,0.0,2,3,0,False
mbrea-c/bevy_firework,4,17.0,4,15,2,False
redixhumayun/mini-lsm,0,0.0,1,1,2,False
nvh0412/ngurra,0,0.0,0,5,1,False
jzelAdmin2006/m306-TouGH-Vault-github-backupper,0,0.0,0,1,0,False
datafusion-contrib/datafusion-sprox,0,8.0,1,4,0,False
boustrophedon/pgtemp,0,12.0,3,4,1,False
anthias-labs/flare,1,5.0,0,9,0,False
Intelligent-CAT-Lab/CodeMind,0,2.0,0,3,0,False
izyuumi/html2md-rs,19,24.0,1,2,1,False
embassy-rs/bt-hci,1,19.0,0,3,2,True
LimeChain/zest,0,2.0,1,1,0,False
daisukiKaffuChino/MomoQR,6,0.0,0,1,0,False
ejrgilbert/whamm,0,112.0,29,35,2,False
matter-labs/teepot,2,96.0,1,14,3,True
SSANJAY225/offline_device_finder,0,0.0,0,1,0,False
CallistoLabsNYC/samsa,0,59.0,11,4,1,True
codebaorg/redis-keeper,4,1.0,0,4,0,False
Plonq/bevy_rts_camera,9,18.0,0,3,1,False
facebook/dotslash,7,11.0,10,2,3,True
memorysafety/river,4,37.0,25,2,2,True
block-mesh/block-mesh-monorepo,13,791.0,0,635,14,False
ClayAmore/ER-Save-Editor,3,23.0,38,2,0,False
microsoft/sudo,0,29.0,42,3,1,False
yoogoc/fga-rs,0,5.0,1,1,0,False
Katana-Official/XYNXposed,0,0.0,1,1,1,False
movementlabsxyz/movement,1,520.0,153,422,4,False
darksv/uwasm,0,1.0,0,1,1,False
MolotovCherry/Native-Memory-Scripter,0,1.0,3,1,2,False
tejmagar/rusty-web,0,3.0,0,2,1,False
jithrew/PantryMate,0,0.0,0,1,0,False
alejandrogzi/gxf2bed,5,0.0,1,1,0,False
maciej-MKan/chess,0,95.0,2,3,2,False
buffalojoec/transfer-hook-order-tracker,0,0.0,0,1,0,False
nkypy/candle-rwkv,0,0.0,0,1,0,False
yasamoka/db-pool,4,0.0,0,1,2,False
ellie-sleightholm/astrorust,0,2.0,0,2,0,False
NodeMedia/react-native-nodemediaclient,0,1.0,16,1,0,False
Sreyas-Sreelal/omprs-gdk,5,3.0,2,2,1,False
uncenter/kittysay,7,10.0,1,8,3,True
orph3usLyre/muddy-waters,3,16.0,7,1,2,True
tomsanbear/bitnet-rs,0,2.0,0,2,1,False
Guvenkaya/rust-security-workshop,0,0.0,1,1,0,False
k3rs3d/ringfairy,4,6.0,2,2,0,False
Void-ux/pixelsort,2,0.0,0,1,2,True
solana-program/address-lookup-table,7,42.0,6,41,3,False
srwi/qmk-via-api,3,0.0,0,1,1,True
W01fh4cker/MemshellKit,0,0.0,0,1,0,False
CrzPhil/SSHniff,0,0.0,0,1,0,False
embassy-rs/trouble,0,136.0,23,54,5,True
jacek-kurlit/pik,14,50.0,13,2,2,True
open-telemetry/weaver,12,155.0,46,4,7,True
vishalmysore/Tools4AI,0,20.0,0,11,3,False
PacificBiosciences/sawfish,10,0.0,0,1,0,False
supabase/pg_replicate,0,15.0,48,12,2,False
