repo,releases,pulls,open_issues,branches,workflows,has_release_workflow
xdev-software/spring-data-eclipse-store,18,151.0,2,6,8,False
huggingface/ratchet,0,167.0,28,137,2,False
MehVahdJukaar/polytone,0,5.0,21,8,0,False
zkVerify/zkVerify,0,186.0,0,23,11,True
vesavvo/design_patterns,0,0.0,0,1,0,False
OJarrisonn/vaca,4,4.0,0,14,0,False
lmorais-dev/qmachina,11,3.0,1,2,3,False
SUDHARSUN2003/Accident-Detection-And-Notification,0,0.0,0,1,0,False
craigmayhew/pipe-gpt,6,4.0,0,1,1,False
oldmanpushcart/qianfan4j,1,0.0,0,1,0,False
Cryolitia/GPD-LinuxControls,0,0.0,0,2,0,False
axelerator/ruelm,0,7.0,0,1,0,False
BLaZeKiLL/webray,0,9.0,0,1,2,False
microsoft/rust-symcrypt,3,26.0,17,18,0,False
hgaiser/moonshine,6,7.0,2,1,2,True
Onizuka893/prayerbar,0,5.0,0,6,0,False
LyonSyonII/run,2,11.0,2,8,1,True
yoshuawuyts/wasm-http-tools,0,6.0,0,4,2,False
algorealmInc/SwarmNL,0,17.0,4,3,2,False
igor-pcholkin/DataAnonymization,1,0.0,0,1,0,False
ismael221/OpenStreamify,0,8.0,0,3,1,False
yuja/hhkb-studio-tools,0,0.0,0,1,0,False
1brc/nodejs,0,3.0,0,1,1,False
madesroches/micromegas,0,245.0,7,1,1,False
geofmureithi/edita,3,2.0,3,1,1,False
guofei9987/hidden_watermark,0,0.0,1,1,1,False
viridia/bevy_reactor,0,5.0,8,1,0,False
ryo33/egui_hooks,0,1.0,7,1,0,False
BigBoot/AutoKuma,8,5.0,18,1,3,True
crust-gather/crust-gather,13,45.0,2,15,3,True
timrogers/litra-rs,16,40.0,0,33,2,False
solidquant/sandooo,0,0.0,5,7,0,False
uutils/procps,0,125.0,21,2,2,False
fasterthanlime/oval,3,4.0,4,3,2,False
VeteranSoftDev/OAK-blockchain,0,0.0,0,1,0,False
0xlarry/byo_mint,0,5.0,0,7,0,False
sameh-tarek/Fawry-Internship,0,4.0,0,2,0,False
ark-network/clArk,0,4.0,2,4,0,False
mlund/ultimate64,6,4.0,1,1,3,False
ZK-Hack/puzzle-gamma-ray,0,0.0,0,1,0,False
cavemanloverboy/sol,0,5.0,4,1,0,False
distributed-lab/taprootized-atomic-swaps,2,3.0,0,1,3,False
bones-ai/rust-ecosystem-simulation,0,1.0,0,1,0,False
devyn/nu_plugin_dbus,8,3.0,0,2,1,False
bluenote-1577/fairy,6,0.0,2,1,1,True
helius-labs/atlas-txn-sender,0,13.0,5,8,0,False
xielong/ai-hub,0,0.0,1,1,0,False
bltavares/axum-content-negotiation,0,1.0,0,2,2,False
integritychain/fips203,2,19.0,0,1,2,True
B-urb/doclytics,121,23.0,9,10,3,True
syurazo/cardputer,0,1.0,0,2,0,False
worldcoin/mpc-uniqueness-check,0,123.0,0,27,3,False
Apress/ChatGPT-for-Java,1,0.0,0,1,0,False
calebfletcher/foc,2,1.0,1,2,0,False
CASELOAD7000/knockback-sync,3,19.0,3,9,0,False
dev-backpack/cllm,3,26.0,7,3,3,False
ch32-rs/ch32-data,0,15.0,0,2,2,False
robertknight/ocrs,0,58.0,13,8,1,False
Proxtx/crontab_status,0,0.0,0,1,0,False
nabbisen/mdka-rs,32,31.0,4,29,1,False
jnhyatt/bevy_mod_async,0,2.0,1,5,0,False
0xPolygonZero/eth-tx-proof,0,20.0,2,17,1,False
orca-so/whirlpool-cpi,0,2.0,0,8,0,False
0xBoji/180DaysOfRust,0,0.0,0,1,1,False
maxprogrammer007/CSES.fi-problems,0,0.0,0,1,0,False
AdinAck/cargo-embassy,4,12.0,6,1,1,False
freethinkel/tauri-nspopover-plugin,0,0.0,1,2,5,False
PacktPublishing/Rust-Web-Programming-3E,0,7.0,0,3,0,False
LelsersLasers/UnderwaterWorld,0,7.0,0,2,0,False
yashwanthsinghm/shakti_riscv_hal,0,5.0,0,1,1,False
0xsouravm/csvr,2,0.0,0,1,1,False
phy1um/rust-simple-vm,0,5.0,0,12,0,False
sviperll/result4j,0,8.0,1,2,1,False
hadasz/plonkish_basefold,0,4.0,1,3,0,False
gaucho-labs/leptos-hotkeys,3,84.0,15,26,1,True
YuhanLiin/micropb,0,1.0,1,1,1,False
IamTheCarl/CommandCAD,0,3.0,3,5,1,False
jakzo/Il2CppDecompiler,0,0.0,1,1,0,False
DeadlockCode/n-body,0,0.0,0,1,0,False
software-mansion/cairo-profiler,9,74.0,25,5,3,False
Poempoat/LimboEmulatorPlus,5,1.0,6,1,0,False
AkshathSai/streamspace,10,33.0,0,6,1,False
alegian/thaumcraft7,0,1.0,0,2,1,False
bedrock-crustaceans/violinrs,0,0.0,0,1,0,False
cloudflare/foundations,1,75.0,15,10,2,False
bobobo1618/ninesleep,0,3.0,5,2,1,False
wez/govee2mqtt,0,18.0,139,2,3,True
apache/datafusion-comet,4,659.0,142,9,9,True
koupleless/koupleless,18,90.0,79,16,1,False
axodotdev/axoupdater,29,112.0,6,13,3,True
wch2019/xiaohai-blog,0,0.0,0,2,0,False
project-gauntlet/gauntlet,11,0.0,17,3,5,False
js2xxx/ferroc,1,0.0,0,1,2,False
waboke/calculator_app_java,0,22.0,42,2,0,False
d1tto/Rengar,0,0.0,1,1,0,False
virtee/tdx,0,9.0,0,1,1,False
easystartup-io/k3s-simplified,16,1.0,0,1,3,False
conradludgate/measured,0,3.0,3,6,0,False
palerdot/wordl-rs,9,1.0,0,2,2,False
mtb0x1/1brc,0,0.0,0,1,0,False
cubk1/vapev3-opensource,0,0.0,1,1,0,False
Kapsyloffer/RUSTBU,2,21.0,7,11,1,False
antlr/antlr5,0,33.0,12,5,1,False
danvega/rest-client-examples,0,0.0,1,1,0,False
chirpstack/chirpstack-gateway-mesh,1,0.0,3,7,1,True
MortalreminderPT/edit-xlsx,0,4.0,6,4,1,False
xfactor-toml/rust-coding-challenges,0,35.0,0,7,0,False
ethereumdegen/bevy_mesh_terrain_editor,0,0.0,0,6,0,False
SpeckyYT/gd_sfx,1,26.0,0,4,2,False
SpriteOvO/closely,19,0.0,0,3,1,False
luisbedoia/sx3d,0,1.0,0,1,0,False
tingerrr/typst-test,0,17.0,16,1,2,False
Kamesuta/BungeePteroPower,9,8.0,2,3,0,False
Rozmir-Rohi/mo-creatures-legacy,0,24.0,2,1,1,False
aliyun/dataworks-spec,0,13.0,2,23,1,False
taproot-wizards/purrfect_vault,0,7.0,4,1,1,False
maxcountryman/axum-messages,10,6.0,0,1,1,False
imatefx/typesense-prometheus-exporter,5,1.0,6,1,2,True
aws-samples/s3-fast-list,0,0.0,0,1,0,False
0xDerked/solana-anchor-examples,0,0.0,0,1,0,False
Qiskit/openqasm3_parser,11,130.0,44,21,2,True
brickadia/p4-fast-reconcile,2,4.0,0,1,0,False
LemmyNet/lemmy-client-rs,9,8.0,1,2,0,False
Lord-of-Algorithms/DSA-in-Java,0,0.0,0,1,0,False
chensheng/ddd-boot,0,0.0,0,1,0,False
karthikreddy-7/TCS-NQT-CODING-SHEET,0,10.0,0,3,0,False
renpenguin/display3d,0,0.0,0,1,0,False
oguzkaran/JavaApp2-Jan-2024,0,0.0,0,1,0,False
0xpapercut/solana-substreams,3,4.0,0,2,0,False
H3Art-q/JNU-IS-CST-Courses,0,0.0,0,1,0,False
shuttle-hq/shuttlings,0,2.0,0,1,0,False
TFyre/bambu-farm,14,12.0,29,4,1,False
sidduganeshsid/Core-Java,0,1.0,0,2,0,False
JaneMandy/CVE-2023-51467-Exploit,1,0.0,0,1,0,False
trailofbits/decree,0,0.0,2,1,0,False
thebracket/one_billion_rows,0,0.0,0,1,0,False
Trendyol/kafkathena-jakarta,1,0.0,0,1,2,False
0xGlitchbyte/OCrab,0,9.0,0,1,1,False
cppcoffee/netguard,0,17.0,0,2,1,False
thmshmm/taskui,9,8.0,1,1,2,True
Ragnt/AngryTrainer,0,0.0,0,1,0,False
WilfredAlmeida/LightDAS,1,4.0,4,4,1,True
frc-862/rhapsody,5,247.0,16,13,2,False
jeremychone-channel/rust-xp-ollama,0,0.0,2,1,0,False
mcmah309/surrealdb_migration_engine,5,0.0,0,1,0,False
Yongxin-Hu/TabbyKV,0,0.0,0,2,1,False
VulnPlanet/l3x,3,7.0,0,6,0,False
ihciah/aria2-rs,0,0.0,0,1,0,False
oxalica/orb,0,0.0,0,3,2,False
oxidecomputer/newtype-uuid,8,47.0,3,18,4,True
jimexist/surya-rs,1,31.0,0,5,1,False
chenhunghan/mlx-training-rs,5,0.0,0,2,1,True
ImKennyYip/flappy-bird-java,0,0.0,0,1,0,False
flyaruu/rc-car,0,1.0,0,2,0,False
zpp0196/localsend-rs,0,4.0,2,3,0,False
caolib/book_management_system,1,0.0,0,2,1,False
ellenhp/airmail,0,9.0,11,2,1,False
Rapter1990/parkinglot,0,20.0,0,1,1,False
cmars/distrans,50,89.0,4,97,3,True
versotile-org/verso,0,166.0,26,6,3,False
Pulikovskyy/fixitnow,0,0.0,0,1,0,False
liubingmx/fast-spring-test,6,0.0,0,1,0,False
randiekas/rust-web-framework-benchmark,0,0.0,0,1,0,False
SarthakMakhija/clearcheck,0,0.0,1,1,1,False
GaoSSR/OnePRO,0,0.0,0,1,0,False
nwtgck/stacklover-rust,0,3.0,0,5,1,False
dounine/wechat-pay-rust-sdk,0,3.0,1,1,0,False
eycorsican/leafvpn-desktop,3,1.0,2,1,2,True
hexaredecimal/ML,3,9.0,8,4,3,False
G2-Games/cross-usb,9,0.0,2,1,1,False
holonym-foundation/vole-zk-prover,0,0.0,0,2,0,False
dnanhkhoa/acm,6,2.0,0,1,1,True
ekzhang/jute,0,2.0,0,1,1,False
anonymous123-code/quilt-bisect,5,6.0,2,4,2,False
ChurchTao/clipboard-rs,13,26.0,5,2,1,False
aljazerzen/connector_arrow,0,0.0,9,1,2,True
drcircuit/wchhack,0,1.0,1,1,0,False
dumbo-the-developer/Duels,9,11.0,16,1,1,False
josephg/egwalker-paper,0,2.0,0,1,0,False
ivabus/lonelyradio,3,0.0,2,4,1,True
vvvar/checkmark,0,10.0,2,3,1,False
ejb004/egui-wgpu-demo,0,1.0,1,1,0,False
Incendo/cloud-minecraft,10,33.0,7,7,1,True
Divested-Mobile/Carrion,0,4.0,2,1,0,False
regolith-labs/ore-cli,10,105.0,50,22,1,False
kingwingfly/fav,50,7.0,3,1,3,True
JeroenGar/jagua-rs,2,3.0,0,5,2,False
andogq/qubit,58,73.0,1,1,3,False
0xExp-po/scrypto-examples,0,0.0,0,1,1,False
blue-build/cli,31,142.0,19,5,6,True
nickolaj-jepsen/fnug,9,2.0,0,5,2,False
Rupas1k/source2-demo,0,2.0,2,2,0,False
