repo,releases,pulls,open_issues,branches,has_workflows,has_release_workflow,w_simplicity,tests
SearchScale/lucene-cuvs,0,7.0,1,7,0.0,0.0,1.0,0.0
LadyJessie19/MyFood,0,0.0,0,1,0.0,0.0,1.0,0.0
sqlparser/java_data_lineage,0,0.0,1,1,0.0,0.0,1.0,0.0
5ec1cff/CopySign,0,0.0,0,1,0.0,0.0,1.0,0.0
karthikreddy-7/Infosys-SP-Coding-Questions,0,0.0,0,1,0.0,0.0,1.0,0.0
Arfifias/Matrix_Fan_Game,1,0.0,0,1,0.0,0.0,1.0,0.0
ThomasVitale/langchain4j-spring-boot,16,5.0,4,1,0.0,0.0,-1.4,57.0
dee-coder01/BusBuddy,0,17.0,0,11,0.0,0.0,-0.65,22.0
lonelytransistor/SystemUINotifier,6,0.0,1,1,0.0,0.0,1.0,0.0
aleixmorgadas/thin-ports-and-adapters,0,0.0,0,1,0.0,0.0,-0.65,20.0
Tushar-Kapil/DSA-Notes,0,0.0,0,1,0.0,0.0,1.0,0.0
Gayanukaa/Spring-Boot-Playground,0,4.0,0,2,0.0,0.0,1.0,0.0
ENATION-UK/page-builder,1,0.0,0,1,0.0,0.0,1.0,2.0
MEEPofFaith/hallucinogen,8,0.0,0,1,0.0,0.0,-0.9,0.0
ErayMert/microservice-log-tracing,0,0.0,0,1,0.0,0.0,1.0,0.0
borjavb/bq-lineage-tool,0,0.0,1,1,0.0,0.0,1.0,37.0
uaoan/DkPlayer,3,0.0,3,1,0.0,0.0,1.0,2.0
thomasdarimont/keycloak-opa-authz-demo,0,1.0,0,1,0.0,0.0,1.0,0.0
CRLauncher/CRLauncher,53,14.0,5,1,0.0,0.0,1.0,0.0
MetaGLM/zhipuai-sdk-java-v4,0,16.0,11,16,0.0,0.0,1.0,46.0
CollaBu/pennyway-was,65,212.0,3,7,1.0,0.0,-12.25,389.0
arconia-io/arconia,9,0.0,9,2,0.0,0.0,-1.9,0.0
X1r0z/hessian-utf-8-overlong-encoding,0,0.0,0,1,0.0,0.0,1.0,0.0
Mohamed-Yuta/DesignPatterns,0,1.0,0,1,0.0,0.0,1.0,0.0
digitalfondue/mjml4j,2,2.0,3,3,1.0,1.0,-2.3,8.0
chiteroman/FrameworkPatch,1,2.0,0,1,0.0,0.0,1.0,0.0
habuma/spring-ai-examples,0,2.0,1,3,0.0,0.0,1.0,0.0
Hunterdii/GeeksforGeeks-POTD,0,16.0,0,1,0.0,0.0,1.0,0.0
Ahmad45123/workup,0,79.0,0,10,1.0,0.0,-4.7,1.0
