repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,tests
tzolov/playground-flight-booking,0,3.0,2,8,0,0,0.0
DHD2280/Oxygen-Customizer,7,55.0,15,3,5,0,0.0
BramStoutProductions/MiEx,12,14.0,16,1,0,0,0.0
wisemapping/wisemapping-open-source,0,1.0,7,2,1,0,42.0
CodingGay/BlackShadow,0,0.0,1,1,0,0,4.0
Shawnarun/DevelopersStack-OpenSourceNexus,0,94.0,0,2,0,0,2.0
zied-snoussi/git-test,1,15.0,0,9,0,0,0.0
Gameye98/xtrspc,1,0.0,0,1,0,0,0.0
Anirudh1103/Complete-Java-and-DSA,0,0.0,0,1,0,0,0.0
MemoryZy/ZhiYouToolkit,4,0.0,1,4,2,0,0.0
wxy0715/java_bucket,0,0.0,0,1,0,0,22.0
Runadee/TourismAgency,0,0.0,1,1,0,0,0.0
Vavaste/openai-java,0,0.0,0,1,3,1,74.0
itsJohnCnstn/service-template,0,0.0,0,28,0,0,8.0
uladzimirFilipchanka/noredraw,2,7.0,0,8,0,0,0.0
annuk123/Java-Questions,0,7.0,0,1,0,0,0.0
Rixafy/LatteSupport,11,1.0,2,1,1,0,88.0
eaglerforge/EaglerForge-old,0,16.0,6,4,0,0,0.0
tony-xlh/vision-camera-cropper,6,1.0,4,2,0,0,0.0
habuma/spring-ai-rag-example,0,0.0,0,1,0,0,0.0
SatvikNema/satchat,0,3.0,0,3,1,0,0.0
mssanamateen/OOP-using-Java,0,27.0,0,3,0,0,0.0
1321928757/chatglm-sdk-java,0,0.0,0,1,0,0,3.0
flutter-youni/flutter_youni_gromore,0,0.0,1,1,0,0,0.0
SpringBootCourses/cqrs-banking-app,0,33.0,5,7,1,0,0.0
artsiomkorzun/1brc-walkthrough,0,0.0,0,1,0,0,2.0
gabrielgua/realworld-springboot,0,0.0,0,1,0,0,30.0
oracle-devrel/springai-rag-db23ai,0,4.0,0,3,6,1,0.0
SightStudio/jOOQ-inflearn,0,0.0,0,1,0,0,332.0
seifrajhi/Kubernetes-practical-exercises-Hands-on,0,41.0,0,76,19,0,1.0
aizuda/doc-apis,1,8.0,4,1,0,0,0.0
Xposed-Modules-Repo/io.github.tehcneko.clipboardwhitelist,1,0.0,0,1,0,0,0.0
lifting-bits/patchestry,1,27.0,16,6,3,1,0.0
Kehrlann/spring-security-the-good-parts,0,1.0,0,3,0,0,0.0
linkedin/openhouse,0,255.0,10,22,3,0,798.0
flynndi/quarkus-jimmer-extension,43,453.0,0,20,5,0,127.0
aws-samples/sigv4-signing-examples,0,5.0,0,1,0,0,0.0
BreweryTeam/BreweryX,37,33.0,12,5,2,0,0.0
kafbat/kafka-ui,1,204.0,145,53,30,1,314.0
mt1006/mc-ar-mod,1,0.0,5,3,0,0,0.0
Fatimakhan0/javalab,0,21.0,0,7,0,0,0.0
DGuhr/spring-otel-extended,0,1.0,1,1,0,0,0.0
daylanbueno/auth-api,0,0.0,0,2,0,0,0.0
filelize/filelize-java,6,2.0,2,1,2,0,20.0
khiner/CrosswordFiller,0,2.0,0,1,0,0,0.0
jzelAdmin2006/m306-TouGH-Vault-github-backupper,0,0.0,0,1,0,0,0.0
ArtformGames/BungeeAuthProxy,5,0.0,0,1,2,1,0.0
Intelligent-CAT-Lab/CodeMind,0,2.0,0,3,0,0,0.0
brenoepics/at4j,4,48.0,2,8,5,1,136.0
daisukiKaffuChino/MomoQR,6,0.0,0,1,0,0,2.0
SSANJAY225/offline_device_finder,0,0.0,0,1,0,0,2.0
codebaorg/redis-keeper,4,1.0,0,4,0,0,10.0
Missuo0o/FoodDeliveryBackend,0,0.0,0,1,0,0,0.0
Seyma000/TourismAgency-main,0,0.0,0,1,0,0,0.0
yohanes/zygisk-reflutter,1,0.0,1,1,0,0,2.0
vivekanand-vr/javaFullStack-codebase,0,0.0,0,1,0,0,21.0
MoeStick/Taunahi-V3,1,1.0,0,1,0,0,0.0
simasch/cqrs-meets-modern-java,0,0.0,0,2,0,0,5.0
jianyuan1991/ragdemo,0,0.0,1,1,0,0,9.0
gayanukabulegoda/Live-Chat-Room,0,0.0,0,1,0,0,0.0
SMGCommunity/Whitehole-Neo,8,2.0,22,1,0,0,0.0
iNuman/PdfHighlighter,0,0.0,0,1,0,0,2.0
Fernanda-Kipper/desafio-anotaai-backend,0,5.0,0,2,0,0,6.0
gmitch215/SocketMC,10,12.0,1,11,2,1,0.0
vaginessa/NPatch,0,0.0,0,1,2,0,0.0
Naton1/osrs-pvp-reinforcement-learning,0,0.0,0,1,1,0,0.0
wisp-forest/accessories,14,15.0,24,5,0,0,0.0
Katana-Official/XYNXposed,0,0.0,1,1,1,0,0.0
Dashstrom/tp-antlr,0,1.0,2,1,0,0,0.0
jithrew/PantryMate,0,0.0,0,1,0,0,0.0
mitre-public/open-aria,1,36.0,11,2,1,0,466.0
N1nn1/dye_depot,0,10.0,37,2,1,0,0.0
Anof-cyber/AlphaScan,0,0.0,0,1,2,0,0.0
rahulkrishy/CPT_Java,0,0.0,0,1,0,0,0.0
FoundryMC/veil-example-mod,0,0.0,3,6,1,0,0.0
manusa/helm-java,14,70.0,10,6,3,1,126.0
chenjinhu/XpAuto,0,0.0,0,1,0,0,2.0
microcks/microcks-testcontainers-java-spring-demo,0,12.0,0,6,2,0,0.0
ikaraozdemir/tourizmAgency,0,0.0,0,1,0,0,0.0
nipafx/modern-java-demo,0,0.0,0,1,0,0,0.0
maciej-MKan/chess,0,95.0,2,3,2,0,16.0
spring-tips/java22,0,0.0,0,1,1,0,0.0
Yldrmceyy/TourismManagmentSystem,0,0.0,0,1,0,0,0.0
wudgaby/wudgaby-platform,0,0.0,0,1,0,0,18.0
jadonharsh109/IaC-Master-Actions,0,71.0,0,1,3,0,10.0
VovaStelmashchuk/nest2D,2,3.0,1,2,2,1,0.0
W01fh4cker/MemshellKit,0,0.0,0,1,0,0,0.0
kousen/springaiexamples,0,0.0,1,1,0,0,25.0
AntiP2WDevelopment/AntiP2W-Addon,2,1.0,3,2,1,0,0.0
cap-js/cds-intellij,5,60.0,3,8,5,0,0.0
HypixelDev/ModAPI,10,23.0,0,3,0,0,0.0
Pedro-Pathing/Pedro-Pathing-Quickstart,1,20.0,0,1,1,0,0.0
xixogo5105/uiptv,6,0.0,0,1,0,0,0.0
seregamorph/spring-test-smart-context,6,9.0,0,3,0,0,47.0
oviva-ag/ehealthid-relying-party,24,72.0,3,48,5,1,215.0
WilloIzCitron/ArchiveDustry-Java,9,5.0,2,1,1,0,0.0
vishalmysore/Tools4AI,0,20.0,0,11,3,0,99.0
NodeMedia/react-native-nodemediaclient,0,1.0,16,1,0,0,0.0
cedricp/ecutweaker,5,6.0,0,1,1,0,7.0
