repo,releases,pulls,open_issues,branches,workflows,has_release_workflow,w_simplicity,tests
oldmanpushcart/qianfan4j,1,0.0,0,1,0,0.0,1.0,10.0
undermad/diet-generator-api,0,17.0,0,4,3,0.0,-3.35,47.0
970263611/redisx,3,12.0,1,8,0,0.0,1.0,24.0
1brc/nodejs,0,4.0,0,1,1,0.0,-0.65,0.0
igor-pcholkin/DataAnonymization,1,0.0,0,1,0,0.0,1.0,48.0
marcolenzo/hexagonal-architecture-spring-sample,0,0.0,0,1,0,0.0,1.0,16.0
HeliosMinecraft/HeliosClient,1,0.0,0,1,1,0.0,-2.15,0.0
ismael221/OpenStreamify,0,9.0,0,2,1,0.0,-0.65,0.0
EasyDarwin/EasyGBD,0,0.0,0,2,0,0.0,1.0,3.0
VictorModi/Lyrics-Getter-Ext,1,10.0,6,1,1,0.0,-0.9,0.0
da-z/woolly,0,0.0,0,1,0,0.0,1.0,0.0
KhushPatibandha/RiceDB,0,0.0,0,2,0,0.0,1.0,0.0
openfga/spring-boot-starter,2,36.0,4,5,3,0.0,-3.75,4.0
danvega/fcc-spring-boot-3,0,0.0,1,1,0,0.0,1.0,25.0
jdubois/jdubois-langchain4j-demo,0,3.0,0,5,0,0.0,1.0,0.0
Apress/ChatGPT-for-Java,1,0.0,0,1,0,0.0,1.0,0.0
sameh-tarek/Fawry-Internship,0,4.0,0,2,0,0.0,1.0,16.0
MobinaMhr/Compiler-Course-Projects-S2024,0,0.0,0,1,0,0.0,1.0,0.0
xielong/ai-hub,0,0.0,1,1,0,0.0,1.0,0.0
Tvenus/blockchain,0,0.0,0,1,0,0.0,1.0,0.0
SemyonSinchenko/spark-connect-example,0,0.0,1,1,0,0.0,1.0,1.0
offici5l/MiBypassTool,3,0.0,4,1,2,0.0,-1.2,0.0
CASELOAD7000/knockback-sync,3,20.0,3,9,1,0.0,-4.15,0.0
guybedo/sugar,0,1.0,0,2,0,0.0,1.0,1.0
HaHaWTH/HAProxy-Detector,1,0.0,0,1,1,0.0,-0.15,0.0
dzaima/grr,0,0.0,0,1,0,0.0,1.0,0.0
jakzo/Il2CppDecompiler,0,0.0,1,1,0,0.0,1.0,0.0
wch2019/xiaohai-blog,0,0.0,0,2,0,0.0,1.0,0.0
BeiShanair/tutorialmod-1.20,0,0.0,0,36,1,0.0,-1.25,0.0
ollama4j/ollama4j-web-ui,4,4.0,1,1,1,1.0,-1.75,0.0
AkashKobal/java-full-stack-developement,1,23.0,0,23,2,0.0,-2.2,0.0
waboke/calculator_app_java,0,61.0,44,2,0,0.0,1.0,0.0
AkshathSai/streamspace,13,33.0,0,6,1,0.0,-1.4,0.0
gama-platform/gama,3,73.0,99,19,16,0.0,-34.6,0.0
alegian/thaumcraft7,0,2.0,0,1,1,0.0,-0.4,0.0
sviperll/result4j,2,10.0,2,2,1,0.0,-0.4,14.0
koupleless/koupleless,19,90.0,69,16,1,0.0,-0.4,0.0
Poempoat/LimboEmulatorPlus,5,1.0,6,1,0,0.0,1.0,0.0
blumek/aura-tower,0,0.0,0,1,0,0.0,1.0,0.0
renmeijian/HealthChecker,0,1.0,0,1,0,0.0,1.0,0.0
easystartup-io/k3s-simplified,16,1.0,0,1,3,0.0,-7.0,0.0
mmd-nemati/Compiler-Course-Projects-F2023,0,0.0,0,1,0,0.0,1.0,0.0
Kamesuta/BungeePteroPower,9,8.0,2,3,0,0.0,1.0,0.0
danvega/rest-client-examples,0,0.0,1,1,0,0.0,1.0,2.0
danvega/spring-common-mistakes,0,0.0,1,11,0,0.0,1.0,0.0
ndancing/bitcask,0,0.0,0,1,0,0.0,1.0,15.0
brian7704/OpenTAK_ICU,11,1.0,6,3,0,0.0,1.0,2.0
d1tto/Rengar,0,0.0,1,1,0,0.0,1.0,0.0
chensheng/ddd-boot,0,0.0,0,1,0,0.0,1.0,5.0
oguzkaran/JavaApp2-Jan-2024,0,0.0,0,1,0,0.0,1.0,85.0
antlr/antlr5,0,33.0,12,5,1,0.0,-3.35,4.0
Jumman04/DataManager,9,0.0,0,1,0,0.0,1.0,0.0
hollow-cube/mql,3,0.0,0,2,1,1.0,-0.75,0.0
coralblocks/CoralProto,0,0.0,0,1,0,0.0,1.0,23.0
Lord-of-Algorithms/DSA-in-Java,0,0.0,0,1,0,0.0,1.0,0.0
H3Art-q/JNU-IS-CST-Courses,0,0.0,0,1,0,0.0,1.0,0.0
karthikreddy-7/TCS-NQT-CODING-SHEET,0,11.0,1,3,0,0.0,1.0,0.0
EladLeev/KeyToField-smt,2,3.0,1,7,2,1.0,-3.05,7.0
cubk1/vapev3-opensource,0,0.0,1,1,0,0.0,1.0,0.0
Direwolf20-MC/JustDireThings,0,67.0,40,2,1,0.0,-0.4,0.0
armankhondker/leetcode-solutions,0,0.0,0,1,0,0.0,1.0,0.0
Rozmir-Rohi/mo-creatures-legacy,1,24.0,2,1,1,0.0,-0.9,0.0
aliyun/dataworks-spec,0,16.0,2,25,1,0.0,-1.15,184.0
TFyre/bambu-farm,15,15.0,20,1,1,0.0,-0.65,0.0
sidduganeshsid/Core-Java,0,1.0,0,2,0,0.0,1.0,0.0
JaneMandy/CVE-2023-51467-Exploit,1,0.0,0,1,0,0.0,1.0,0.0
SandhyaMadhunagula/Javalab,0,1.0,0,2,0,0.0,1.0,0.0
Trendyol/kafkathena-jakarta,1,0.0,0,1,2,0.0,-3.2,13.0
google-checks/checks-jenkins-plugin,0,0.0,0,6,1,0.0,0.4499999999999999,7.0
evpl/jkscope,5,0.0,0,1,1,0.0,-0.4,247.0
semih-turan/The-Full-Stack-Web-Development-Bootcamp,0,0.0,0,1,0,0.0,1.0,0.0
weilueluo/tsm4j,0,14.0,0,1,0,0.0,1.0,18.0
frc-862/rhapsody,5,247.0,16,13,2,0.0,-1.95,0.0
vsouzx/Events-Driven-Ecommerce,0,0.0,1,1,0,0.0,1.0,0.0
mytang0/brook,1,9.0,0,7,2,0.0,-2.2,15.0
