repo,score
aumetra/asynk-strim,75.0
qi4L/sRDI-rs,30.0
nyxpsi/nyxpsi,65.0
Juanperias/motion,495.0
rick-de-water/nonany,237.5
NovaLogics/skills-training-cli-java,67.5
diommsantos/QtREAnalyzer,37.5
HeroCTF/HeroCTF_v6,50.0
gleam-lang/zed-gleam,117.5
danvega/golf-scheduler,30.0
utilForever/2024-DEVCON-Rust-Safety,30.0
taoofagi/easegen-admin,30.0
c2pain/RustBird,30.0
Vector35/warp,387.5
frankvgompel/egui_colors,290.0
DeadlockCode/barnes-hut,152.5
luleyleo/clapgrep,687.5
vittorioPiotti/PathGraph-JavaFX,80.0
Patbox/mrpack4server,302.5
Shenzhen-Robotics-Alliance/maple-sim,595.0
KMJ-007/lazygh,365.0
jamesmcm/esp32_wifi_tank,37.5
AarambhDevHub/file-share-rust-backend,37.5
g0h4n/RustHound-CE,30.0
EasonLyo/sigma,80.0
Tylous/FaceDancer,80.0
Timshel/OIDCWarden,55.0
OpenLEADR/openleadr-rs,550.0
dexter-xD/7Days7RustProjects,30.0
carthage-software/fennec,127.5
KOSASIH/QEIBN,67.5
Hattorius/CipherDrop,262.5
stephanj/Llama3JavaChatCompletionService,30.0
louie-velarde/DevQS,50.0
shuru-project/shuru,1607.5
caibirdme/penguin,55.0
ProyectosCoPersonales/Scalable-E-Commerce,30.0
Eyob94/shush-rs,262.5
mmatczuk/bioniconv,30.0
kairyou/jenkins-cli,725.0
Syaw0/term_tools,187.5
crema-labs/sxg-sp1,202.5
swlkr/static_sqlite,67.5
Liubsyy/VisualClassBytes,80.0
apache/datafusion-ray,355.0
binarly-io/idalib,202.5
Brooooooklyn/network-change,95.0
agentic-labs/lsproxy,1417.5
xmtp/diesel-wasm-sqlite,335.0
jeremychone/rust-devai,232.5
alibaba/spring-ai-alibaba,1265.0
rochacbruno/marmite,1332.5
DorianMazur/react-native-keychain-manager,317.5
Softwerkskammer-Linz/SoCraTesAT-2024,232.5
Jplamo13/Wurst,80.0
pyrohost/clavis,30.0
siketyan/tsimports,230.0
KoshakMineDEV/ICSTD,135.0
Degra02/nordvpn-tui,67.5
tisonkun/morax,250.0
hungnm98/hermes,30.0
DonIsaac/oxbuild,627.5
icanvardar/arbor,415.0
liamzebedee/tendermint-rs,55.0
tox-dev/toml-fmt,540.0
szobov/kriss_matcher,30.0
mateocabanal/riscvm,55.0
danvega/spring-boot-oauth-demo,62.5
InternetMaximalism/intmax2-mining-cli,1490.0
mciem/kasada,75.0
mocks-rs/mocks,730.0
HiImJulien/in-vite,90.0
xdev-software/vaadin-grid-filter,612.5
joaoviictorti/rustclr,30.0
xsreality/abstractness-instability-calculator,127.5
AarambhDevHub/rust-backend-axum,42.5
projectharmonia/bevy_enhanced_input,267.5
neondatabase-labs/pgrag,140.0
edera-dev/am-i-isolated,660.0
Brooooooklyn/whisper-node,92.5
developmentseed/obstore,1195.0
operaton/operaton,2210.0
tensorchord/VectorChord,805.0
kkrt-labs/stwo-brainfuck,1497.5
szeiger/perfio,92.5
underthreaded/dvlg,67.5
barakmich/bbqvec,37.5
jezyk12/Minecraft-Impact,80.0
swstarlab-infolab/ldbc-complex-benchmark,120.0
adsoftsito/competitive_programming,30.0
stritefax/heelixchat,42.5
adelamodwala/jist,140.0
linera-io/intract-voyagerx,45.0
PsychedelicShayna/jw,230.0
furkan-guvenc/crud_routers,30.0
resola-ai/rust-aws-tui,82.5
baiguoname/qust,30.0
mainak55512/rjq,585.0
KOSASIH/pistellar-nexus-protocol,67.5
Team254/FRC-2024-Public,30.0
delan/autost,280.0
rkdud007/solchip8,110.0
dreadnode/robopages-cli,345.0
maeddes/hft-24-winter,30.0
0xtecasinoa/Xelis-Blockchain,30.0
zed-extensions/vue,97.5
LaurentMazare/ug,67.5
jito-labs/jito-rust-rpc,290.0
Hoverth/ssurlss,80.0
thomastschurtschenthaler/electrico,92.5
laperlej/zellij-sessionizer,517.5
baehyunsol/ragit,55.0
v01dlabs/dollcode,30.0
LilyFoote/django-rusty-templates,337.5
rustp2p/NetLink,1262.5
Kaisia-Estrel/activate-linux,30.0
ryanccn/morlana,30.0
spring-projects-experimental/spring-grpc,460.0
cibseven/cibseven,4207.5
bitwarden/sdk-internal,757.5
trailbaseio/trailbase,527.5
orhun/eurorust2024,30.0
davidtos/LIO,150.0
HerodotusDev/hdp-sp1,185.0
martcpp/50-DaysOfRust,30.0
halseth/output-zero,157.5
kousiknath/Concurrency,30.0
FlixCoder/serde-brief,175.0
web3batman/Solana-Presale-Smart-Contract,50.0
jtaccuino/jtaccuino,190.0
Tencent/TencentKona-21,397.5
evgenyigumnov/rustsn,432.5
penumbra-x/auth,30.0
Wolfyxon/lover,255.0
0xPARC/parcnet,1145.0
Dstack-TEE/dstack,525.0
BitFancy/Solana-MEV-Bot-Optimized,67.5
tedsteen/Spotiamp,505.0
StefanTerdell/userp,37.5
rewrite-bigdata-in-rust/RBIR,325.0
dotzenith/AvatarSay,130.0
picodata/picodata,330.0
SylvanFranklin/srhd,295.0
zeroth-robotics/zeroth-bot,1220.0
chainbase-labs/manuscript-core,680.0
tokio-rs/toasty,300.0
mbhall88/lrge,160.0
lyflexi/feignx-plugin,380.0
0xjeffro/pbft-rust,30.0
Alek-paint/Raven-B,80.0
ngud-119/Social-Network,30.0
kxxt/ttyrecall,87.5
gokmenhoca/java,30.0
oli-obk/layer-proc-gen,127.5
orhun/rustlab2024-ratatui-workshop,877.5
AlexBuz/rust_to_bf,30.0
iex-rs/lithium,72.5
ionutbalosin/java-application-security-practices,60.0
datafusion-contrib/datafusion-query-cache,30.0
Hirun4/music-app,30.0
procivis/one-core,30.0
conjure-cp/uniplate,480.0
aranya-project/aranya,522.5
orhun/theattyr,475.0
Matt-MX/DisplayNameTags,410.0
oestradiol/bsky-post-notifs-bot,30.0
PyO3/pyo3-async-runtimes,495.0
Kelvin-1013/Solana-Arbitrage-Bot,120.0
hicder/muopdb,2147.5
lattice-complete/Lazarus,220.0
CrunchyData/pg_parquet,630.0
dwpeng/filterx,280.0
Blueblue1101/SmartFlightCheckInKiosk,52.5
mkpaz/devtoolsfx,42.5
dmpierre/ark-superspartan,30.0
tisonkun/mea,155.0
mekaem/graphmemes,30.0
etkecc/baibot,167.5
ChrisShain/statement,30.0
Quantco/conda-deny,377.5
Schachte/space-monitor-rs,30.0
linka-cloud/prost-validate,115.0
traceloop/hub,407.5
Lommix/solis_2d,62.5
dimforge/wgmath,37.5
element-hq/matrix-authentication-service,2395.0
str4d/plc,97.5
Lommix/bevy_hui,182.5
Merklemap/merklemap-cli,92.5
aranya-project/aranya-core,162.5
ribru17/ts_query_ls,760.0
penumbra-x/rquest,1190.0
DVSR1411/onlinebookstore,30.0
ChHsiching/GitHub-Chinese-Top-Charts,30.0
danielbeach/datahobbit,107.5
notificohq/notifico,67.5
ithacaxyz/odyssey,1240.0
Daniolet/Cryptography-N-ZK,37.5
omerstyle/Minecraft-Moon,80.0
mahmudsudo/crypto_axum,82.5
GrandmasterB42/bevyray,37.5
KirDemorgan/desaAPI,60.0
Gadersd/ic,30.0
schwa/multigit-rs,110.0
WhiteSponge/rust_dashboard_app,45.0
beowolx/fast_1brc,30.0
apostoli-karpouzis/Fishing-Game,1177.5
graalvm/graal-languages-demos,187.5
vortelus/ref-contracts,180.0
Zacholme7/NodeDB,30.0
hamzalamin/ITLens,487.5
j178/pre-commit-rs,1180.0
BaptisteRoseau/zed-typos,95.0
palform/palform,90.0
althonos/pysylph,160.0
stjude-rust-labs/crankshaft,45.0
pkgforge/soar,767.5
Funtimes909/ServerSeekerV2,52.5
iM4dCat/Alien,155.0
TobiasBengtsson/crc-fast-rs,235.0
TheDonSaysNah/checkhomeIP,62.5
korewaChino/mkbsd-rs,30.0
cairoeth/sp1-eof,30.0
kby-ai/FaceRecognition-Ionic-Cordova,30.0
dtolnay/erased-discriminant,37.5
chriskiehl/Data-Oriented-Programming-In-Java-Book,60.0
datafusion-contrib/orc-rust,480.0
iynaix/focal,37.5
Ayush7-BIT/turbo-robot,5307.5
martinellich/jooq-spring,197.5
cloudflare/entropy-map,152.5
xNaCly/sqleibniz,30.0
zhuima/Whoamifuck,342.5
zahash/quarantine,145.0
nobuyuki83/floor_plan,60.0
soehrl/tracing-tape,340.0
chengpeng-wang/LLMDFA,37.5
ssquadteam/Earth,30.0
tursodatabase/libsql-c,45.0
dbeaver/dbeaver-jdbc-libsql,232.5
MeteorClientPlus/MeteorPlus,545.0
joaoviictorti/coffeeldr,30.0
rustp2p/rustp2p,210.0
estie-inc/wasm-xlsxwriter,230.0
junkdog/exabind,37.5
pixlie/PixlieAI,350.0
Nappxy/Evon-Executor,80.0
0PandaDEV/downcida,42.5
gufranthakur/CodeLite,87.5
NabihaShujaat/Wurst,80.0
Gbps/plugshark,30.0
Schachte/kaffe-rs,187.5
bloznelis/krowbar,330.0
codespree/quantcrypt,247.5
ashokitschool/Microservices_Zero_To_Hero,30.0
getchoo/nix-forecast,380.0
ptrglbvc/omd,60.0
orlowskilp/evm-signer-kms,210.0
hamsterbase/Burrow-UI,220.0
mjovanc/rust-backend-starter,30.0
IBM/cbomkit,775.0
joshlong-attic/2024-bootiful-spring-workshop,30.0
LuisaGroup/Efficient-Image-Shape-Splatting,30.0
sionpardosi/Student-Learning-Hub-Aplikasi-Sederhana-Latihan-Belajar-Mahasiswa-Berbasis-JAVA,30.0
StephenIsTaken/NexusOpen,30.0
wack/canary,470.0
ulissesf/qmassa,135.0
msminhas93/nviwatch,157.5
marcushellberg/spring-ai-examples,30.0
OmniOneID/did-demo-server,215.0
matthunz/voxy,167.5
Hexorg/bevy_copperfield,92.5
flashbots/contender,625.0
aws/amazon-q-developer-cli,2070.0
whitequark/superlinker,60.0
erskingardner/whitenoise,95.0
alpaylan/kale,30.0
BacconKam/Minecraft-Vape,30.0
dvrkn/yabe,112.5
tzolov/spring-ai-cli-chatbot,30.0
recmo/icao-9303,180.0
esp32-open-mac/esp32-wifi-hal-rs,42.5
watthedoodle/rdfs,37.5
PixelSergey/meow,130.0
0xdeafbeef/jeprofl,30.0
coreyja/crowd-source-bytes,305.0
oscrim/bevy_map_camera,42.5
unexcellent/rsume,127.5
pythonspeed/mandelbrot-simd,117.5
chuigda/vulkan4j,297.5
