repo,releases,pulls,open_issues,branches,has_workflows,has_release_workflow,w_simplicity,tests
ivangfr/api-oha-benchmarker,0,0.0,0,1,0.0,0.0,1.0,0.0
wushuo894/EmbyPinyin,12,0.0,0,2,1.0,0.0,-4.2,0.0
ShawnWhite666/HTimer,0,0.0,0,1,0.0,0.0,1.0,0.0
iamcharankumar/playwright_test_framework,0,23.0,0,4,1.0,0.0,-3.95,13.0
hexaredecimal/BlazingWebX,6,0.0,3,1,0.0,0.0,1.0,0.0
Alumopper/Datapack-Debugger,5,4.0,1,1,0.0,0.0,-1.15,0.0
xeruvimov/jproblem,2,1.0,0,2,0.0,1.0,-0.75,0.0
vittorioPiotti/PathGraph-JavaFX,1,0.0,0,1,0.0,0.0,1.0,0.0
AtlasEngineCa/AtlasProjectiles,6,4.0,0,1,0.0,0.0,1.0,0.0
Noble-Lab/Carafe,1,0.0,4,1,0.0,0.0,1.0,1.0
diommsantos/QtREAnalyzer,0,1.0,0,1,0.0,0.0,1.0,0.0
depromeet/Swimie-server,0,286.0,4,14,1.0,0.0,-2.3,109.0
Kei-Luna/LunaGC_5.0.0,0,21.0,3,1,0.0,0.0,1.0,1.0
Ch0pin/stheno,0,0.0,1,1,0.0,0.0,1.0,0.0
coinbase-samples/advanced-sdk-java,1,3.0,3,1,0.0,0.0,1.0,0.0
CaiJi-ikun/DG_LAB,6,0.0,0,1,0.0,0.0,1.0,0.0
Tutorials-By-Kaupenjoe/Fabric-Tutorial-1.21.X,0,1.0,4,53,0.0,0.0,-1.15,0.0
wyatt-herkamp/too-many-shortcuts,7,6.0,9,4,1.0,1.0,-3.8,0.0
developer-krushna/AXMLPrinter,1,1.0,0,1,0.0,0.0,1.0,0.0
scordio/jimfs-junit-jupiter,2,1.0,1,2,1.0,1.0,-4.05,0.0
thomasmueller/bau-lang,0,1.0,0,1,0.0,0.0,1.0,76.0
AikidoSec/firewall-java,9,119.0,0,13,1.0,1.0,-16.5,821.0
CompilerProgramming/ez-lang,0,20.0,5,3,0.0,0.0,-0.4,0.0
advent-of-craft/2024,0,15.0,0,1,0.0,0.0,1.0,86.0
pietro-lopes/AllTheLeaks,0,1.0,5,2,0.0,0.0,1.0,0.0
re-zero001/LSPosed-Irena,1,1.0,2,3,0.0,0.0,-3.15,0.0
Patbox/mrpack4server,5,3.0,0,1,1.0,1.0,-3.05,0.0
