repo,releases,pulls,open_issues,branches,has_workflows,has_release_workflow,w_simplicity,tests
Shenzhen-Robotics-Alliance/maple-sim,11,80.0,3,5,0.0,0.0,-1.4,0.0
yashksaini-coder/August-Leetcode-Daily-2024,0,4.0,0,2,1.0,0.0,-3.0,0.0
GlowskiBroski/PhoenixClient,3,0.0,1,1,0.0,0.0,1.0,0.0
TianXuan-Chain/thanos-demo,0,0.0,0,1,0.0,0.0,1.0,0.0
yashksaini-coder/October-Leetcode-Daily-2024,0,0.0,0,1,1.0,0.0,-3.0,0.0
PramodDutta/LearningATB7xJavaPrograms,0,0.0,0,2,0.0,0.0,1.0,0.0
xxDark/Deencapsulation2,0,0.0,0,1,0.0,0.0,1.0,0.0
Hindhuja-V/DBMS-System-project,0,0.0,0,1,0.0,0.0,1.0,0.0
ProyectosCoPersonales/Scalable-E-Commerce,0,0.0,0,1,0.0,0.0,1.0,0.0
praveen1994dec/scenario_based_learnings,0,0.0,0,1,0.0,0.0,1.0,0.0
ngntu10/OptiMart,0,1.0,0,3,0.0,0.0,0.7,0.0
GuyApooye/ClockworkAdditions,1,9.0,1,2,0.0,0.0,-1.4,0.0
novysodope/javaeasyscan,1,0.0,1,1,0.0,0.0,1.0,0.0
apple/music-feed-examples,0,1.0,0,1,0.0,0.0,1.0,0.0
des-felins/spring-modulith-demo,0,3.0,0,1,0.0,0.0,1.0,1.0
microsoft/semantic-kernel-java,6,102.0,45,9,1.0,0.0,-12.35,160.0
zilliztech/vts,5,39.0,5,15,0.0,0.0,1.0,908.0
Roger-Lv/data-switch-with-Netty,0,0.0,0,2,0.0,0.0,1.0,5.0
wenbochang888/short-url,0,2.0,0,3,0.0,0.0,1.0,0.0
Giovds/outdated-maven-plugin,3,22.0,4,3,1.0,0.0,-2.2,16.0
AlohaRaycin808/Minecraft-Vape,1,1.0,0,1,0.0,0.0,1.0,0.0
louie-velarde/DevQS,0,1.0,3,1,0.0,0.0,1.0,0.0
jiangnanboy/llm_security,0,0.0,0,1,0.0,0.0,1.0,0.0
alibaba/spring-ai-alibaba,6,235.0,90,3,1.0,0.0,-2.5,133.0
esmaeilsadeghijob/Benchmarking-Consensus-Mechanisms-in-Microservice-Compotition,1,0.0,0,8,0.0,0.0,1.0,0.0
EthanolMC/EthanolMod,11,3.0,2,5,0.0,0.0,-1.15,0.0
J4C0B3Y/CommandAPI,5,0.0,0,1,0.0,0.0,1.0,0.0
Exclude0122/xivpn,14,0.0,2,1,0.0,0.0,-2.9,2.0
bilirz/maomod,0,9.0,0,5,0.0,0.0,-1.15,0.0
Cap-go/capacitor-social-login,0,30.0,22,18,1.0,1.0,-7.449999999999999,4.0
danvega/spring-ai-workshop,0,0.0,0,4,0.0,0.0,1.0,0.0
timschneeb/jadx-type-diagram-plugin,2,0.0,0,1,0.0,0.0,-1.65,0.0
Softwerkskammer-Linz/SoCraTesAT-2024,0,27.0,0,1,0.0,0.0,1.0,2.0
Hindhuja-V/devOps-project,0,0.0,0,1,0.0,0.0,1.0,1.0
xsreality/abstractness-instability-calculator,0,9.0,0,2,1.0,0.0,-2.2,13.0
IAFEnvoy/IceAndFire-Fabric,0,0.0,1,1,0.0,0.0,-0.9,0.0
sivaprasadreddy/tomato-architecture-spring-boot-demo,0,0.0,1,1,0.0,0.0,-0.65,3.0
Benojir/Caller-ID,3,2.0,3,3,0.0,0.0,1.0,2.0
convisolabs/CVE-2024-43044-jenkins,0,0.0,1,3,0.0,0.0,1.0,0.0
MrXian763/friends-matching-backend,0,0.0,0,1,0.0,0.0,1.0,15.0
DorianMazur/react-native-keychain-manager,5,1.0,0,2,1.0,0.0,-7.35,1.0
bty834/spring-tx-message,0,0.0,0,1,0.0,0.0,1.0,0.0
KoshakMineDEV/ICSTD,0,14.0,1,1,0.0,0.0,1.0,0.0
wansors/myfaba-hacks,0,5.0,1,2,0.0,0.0,1.0,0.0
ab5tract/comma-plugin,39,3.0,12,7,0.0,1.0,-1.0,0.0
esmaeilsadeghijob/Raft-Consensus-in-Microservice-Composition,1,0.0,0,1,0.0,0.0,1.0,0.0
aquestry/Nebula,0,7.0,0,1,0.0,0.0,1.0,0.0
prateek27/design-patterns-java,0,0.0,0,1,0.0,0.0,1.0,0.0
ArtyomKingmang/Lino,0,0.0,0,1,0.0,0.0,1.0,0.0
flowinquiry/flowinquiry-server,0,63.0,0,3,0.0,0.0,-0.65,79.0
ivanyu/kafka_wire_protocol,1,54.0,1,1,0.0,0.0,-1.15,4099.0
Lunatix01/ragscan,0,2.0,2,2,0.0,0.0,-1.0,0.0
garciia28/CoinMarketCapSniper,1,0.0,0,1,0.0,0.0,1.0,0.0
xdev-software/vaadin-grid-filter,4,46.0,0,7,1.0,0.0,-12.45,0.0
SAP/ai-sdk-java,5,247.0,3,22,1.0,0.0,-21.35,142.0
Mark-Langston/Marks_Computer_Builds_Remote,0,0.0,0,1,0.0,0.0,1.0,0.0
0WhiteDev/Java-Process-Inspector,1,0.0,0,1,0.0,0.0,1.0,0.0
cyllective/malfluence,0,0.0,0,1,0.0,0.0,1.0,0.0
jezyk12/Minecraft-Impact,1,0.0,0,1,0.0,0.0,1.0,0.0
Team846/FunkyLogClient,5,1.0,0,1,0.0,0.0,1.0,0.0
TeamDATEROAD/DATEROAD-SERVER,0,160.0,5,127,1.0,0.0,-4.800000000000001,24.0
ImgoodWK/Hyperdimensional-Tech,1,1.0,1,1,0.0,0.0,1.0,0.0
niqumu/Irminsul,0,1.0,0,1,0.0,0.0,1.0,0.0
pmoustopoulos/customer-api,0,3.0,0,2,0.0,0.0,1.0,30.0
FRC-team5449/FRC-2025-Elective-Prototype,0,0.0,0,1,0.0,0.0,1.0,1.0
sculkmp/Sculk,1,33.0,9,11,1.0,0.0,-2.7,0.0
VelixDevelopments/Imperat,19,0.0,1,2,1.0,0.0,-2.7,0.0
aws-samples/iceberg-streaming-examples,1,0.0,1,2,0.0,0.0,1.0,0.0
mqttsnet/open-exp-plugin,0,13.0,1,3,0.0,0.0,1.0,35.0
xk-dragonfly/xk-RPC,0,0.0,0,1,0.0,0.0,1.0,0.0
DuncanRuns/Jingle,19,1.0,1,1,0.0,0.0,1.0,0.0
frknkrc44/SmartPiXelsPosed,0,1.0,0,1,0.0,0.0,1.0,0.0
Swifter1243/BeatCraft,0,8.0,0,2,0.0,0.0,-1.15,0.0
spring-projects-experimental/spring-grpc,0,61.0,8,2,1.0,0.0,-3.75,2.0
Rapter1990/springbootmicroserviceswithsecurity,0,1.0,0,1,1.0,0.0,-8.1,133.0
hstr0100/GDownloader,19,3.0,8,4,0.0,0.0,-1.4,36.0
kuba6000/AE2-Web-Integration,9,10.0,0,4,1.0,1.0,-1.35,0.0
sidd-harth/jenkins-hello-world,0,7.0,0,1,0.0,0.0,1.0,0.0
fglock/PerlOnJava,14,1.0,1,2,0.0,0.0,-0.5,4.0
bambosan/MaterialBinLoader-Apk,2,2.0,2,1,0.0,0.0,1.0,2.0
Abdelrhman-Ellithy/Ellithium,11,0.0,0,1,1.0,0.0,-2.05,1.0
Roadhog360/SimpleSkinBackport,0,1.0,3,2,1.0,1.0,-0.2,0.0
davidtos/LIO_old,0,0.0,0,5,0.0,0.0,1.0,0.0
aliFetvaci61/credit-finance-application,0,0.0,2,1,0.0,0.0,1.0,15.0
kousiknath/Concurrency,0,0.0,0,1,0.0,0.0,1.0,0.0
Tencent/TencentKona-21,6,1.0,1,3,1.0,0.0,-19.5,2883.0
XinCaoZ/RouteVulScanPlus,1,0.0,2,1,0.0,0.0,1.0,0.0
jumpserver/chen,17,79.0,0,22,1.0,1.0,-5.6,0.0
BulPlugins/BulMultiverse,0,3.0,2,1,0.0,0.0,1.0,0.0
wchwawa/Java-Agents-Webapp,0,37.0,2,7,0.0,0.0,1.0,119.0
FireflyClub/FireflyCore,0,0.0,0,2,0.0,0.0,-0.9,0.0
BubblingXuYijie/secure-api-spring-boot,0,0.0,2,3,0.0,0.0,1.0,0.0
Kei-Luna/LunaGC_4.7.0,0,8.0,1,1,0.0,0.0,1.0,1.0
cosad3s/salsa,3,0.0,0,2,1.0,0.0,-2.2,0.0
Bram1903/TotemGuard,5,5.0,0,7,0.0,0.0,-0.9,0.0
ing-bank/INGenious,2,18.0,4,1,0.0,0.0,-0.65,24.0
vagabond-systems/forage-midas,0,26.0,3,1,0.0,0.0,1.0,0.0
rayokota/kwack,12,5.0,7,9,0.0,0.0,-0.5,18.0
17TheWord/QueQiao,7,16.0,3,2,1.0,0.0,-4.55,0.0
sivaprasadreddy/spring-modular-monolith,0,2.0,2,5,1.0,0.0,-2.2,0.0
chainbase-labs/manuscript-core,7,71.0,15,1,1.0,1.0,-1.8,9.0
alex0x08/no-frameworks,0,0.0,0,1,0.0,0.0,1.0,0.0
apripista/java,0,0.0,0,1,0.0,0.0,1.0,0.0
ReadingGod/Minecraft-Vape-Lite,1,0.0,0,1,0.0,0.0,1.0,0.0
Hindhuja-V/bluetooth-home-automation,0,0.0,0,1,0.0,0.0,1.0,1.0
KirDemorgan/BeatSaberDsBot,0,0.0,0,1,0.0,0.0,1.0,0.0
guiYMOUR/Mindustry-LotteryMod,2,0.0,0,1,0.0,0.0,1.0,0.0
Rapter1990/rolepermissionexample,0,0.0,0,1,0.0,0.0,-0.9,104.0
daotq2000/spotify-be-public,0,0.0,0,1,0.0,0.0,1.0,0.0
MartinxMax/S-Clustr,2,0.0,0,1,0.0,0.0,1.0,0.0
Alek-paint/Raven-B,1,0.0,0,1,0.0,0.0,1.0,0.0
ashokitschool/springboot_whatsapp_api_integration,0,0.0,0,1,0.0,0.0,1.0,0.0
TEAM-SEONYAK/SEONYAK-SERVER,0,87.0,2,2,0.0,0.0,-0.15,1.0
rostopira/bt_qs,1,0.0,0,1,0.0,0.0,1.0,0.0
Sublemon-Team/Subvoyage,7,3.0,0,2,1.0,1.0,-2.3,0.0
snackbag/TT20,11,4.0,4,1,0.0,0.0,1.0,0.0
gebz97/mandulis-ticketing-system,0,37.0,21,5,0.0,0.0,-0.65,0.0
cao-awa/Sepals,14,0.0,0,1,0.0,0.0,-1.5,0.0
ngud-119/Social-Network,0,0.0,0,1,0.0,0.0,1.0,1.0
lopcode/vips-ffm,37,91.0,3,5,1.0,0.0,-5.55,2.0
MemoryZy/Json-Assistant,15,25.0,3,18,1.0,0.0,-8.55,0.0
developer-krushna/XML-Formatter,1,0.0,0,1,0.0,0.0,-0.4,0.0
myth-MC/banco,23,41.0,1,2,0.0,0.0,1.0,0.0
CallmeSHaobe/123Technology,17,5.0,1,4,1.0,1.0,-0.2,0.0
vgskye/e4mc-minecraft-architectury,2,7.0,11,1,0.0,0.0,1.0,0.0
NanoNative/nano,14,2.0,0,1,1.0,0.0,-6.1000000000000005,37.0
Matt-MX/DisplayNameTags,5,21.0,10,3,1.0,0.0,-3.45,1.0
Sigma-Skidder-Team/SigmaRemap,8,11.0,4,2,0.0,0.0,1.0,0.0
HiveGamesOSS/Chunker,14,19.0,6,8,1.0,0.0,-11.6,0.0
wb04307201/easy-ai-spring-boot-starter,0,1.0,0,2,0.0,0.0,1.0,3.0
Mino260806/KeyboardGPT,11,2.0,17,5,0.0,0.0,1.0,0.0
project-au-lait/svqk,6,56.0,0,1,0.0,0.0,1.0,5.0
tomaytotomato/location4j,6,15.0,4,3,1.0,1.0,-3.55,72.0
zziger/obs-overlay,9,1.0,2,2,0.0,1.0,-2.5,0.0
Ilya3point999K/ThaumicConcilium,0,3.0,7,1,0.0,0.0,1.0,0.0
nextopcn/swiss-map,0,8.0,0,1,0.0,0.0,1.0,0.0
nhn2004/ProyectoED,0,0.0,1,1,0.0,0.0,1.0,0.0
panic08/funpay4j,9,65.0,5,2,0.0,0.0,-0.65,21.0
ivangfr/spring-boot-grpc-client-server,0,0.0,0,1,0.0,0.0,1.0,0.0
Kiranwaghmare123/PG-DAC-Aug2024,0,0.0,0,1,0.0,0.0,1.0,0.0
timosalm/spring-ai,0,5.0,0,1,0.0,0.0,-1.15,0.0
Asher-Ul-Haque/Just_Forge_2D,2,6.0,2,4,0.0,0.0,1.0,0.0
Berikai/bitwig-theme-editor,9,2.0,3,3,0.0,0.0,1.0,0.0
qifan777/dive-into-spring-ai,0,0.0,2,4,0.0,0.0,1.0,0.0
IBM/sonar-cryptography,11,87.0,13,19,1.0,1.0,-2.05,263.0
Tutorials-By-Kaupenjoe/Forge-Tutorial-1.21.X,0,0.0,1,53,0.0,0.0,1.0,0.0
DEVS-MARKET/Desktop-GifDisplay,1,0.0,1,1,0.0,0.0,1.0,0.0
Infinicraft-Mod/infinicraft,1,11.0,3,3,0.0,0.0,-0.9,0.0
mikechenczy/LeapRemote-Server-Public,0,0.0,0,1,0.0,0.0,1.0,0.0
Zorbatron/ZBGT,41,115.0,13,14,1.0,1.0,-6.4,0.0
PortSwigger/bypass-bot-detection,6,2.0,0,1,0.0,1.0,-1.25,3.0
quarkiverse/quarkus-temporal,13,89.0,6,5,1.0,1.0,-4.2,50.0
Rapter1990/ratelimiter,0,0.0,0,1,0.0,0.0,-0.9,30.0
NerminKarapandzic/spring-boot-nextjs-starter-kit,0,5.0,2,1,0.0,0.0,-0.9,0.0
phegondev/Ecommerce-Springboot,0,2.0,0,3,0.0,0.0,1.0,181.0
BlueStaggo/moderner-beta,31,0.0,7,6,1.0,1.0,-3.55,0.0
unitycatalog/unitycatalog,4,537.0,156,11,1.0,1.0,-31.3,85.0
HuberHaYu/HXPlayer,1,2.0,7,3,0.0,0.0,1.0,0.0
P-25/react-native-notification-reader,0,0.0,0,1,1.0,0.0,-2.5,0.0
omerstyle/Minecraft-Moon,1,0.0,0,1,0.0,0.0,1.0,0.0
shire-lang/shire-demo,0,0.0,0,2,0.0,0.0,1.0,4.0
tbvns/GhostTrainer,2,0.0,1,1,0.0,0.0,-1.15,0.0
LDemetrios/Kvasir,0,0.0,1,1,0.0,0.0,1.0,0.0
michael-ameri/gemini-api,9,2.0,0,1,0.0,0.0,1.0,0.0
Doom9527/aristotle-webservice,0,41.0,10,3,0.0,0.0,-0.4,97.0
MaxBogomol/FluffyFur,0,2.0,0,1,0.0,0.0,1.0,0.0
KirDemorgan/desaAPI,0,0.0,0,2,0.0,0.0,1.0,0.0
h1tm4nqq/Nhack-theme,3,2.0,2,1,0.0,0.0,1.0,0.0
abhilashgowda23/E-CommerceOnlineShopping,0,6.0,0,4,0.0,0.0,1.0,0.0
Farooquekk/DSA-IN-JAVA,0,0.0,0,2,0.0,0.0,1.0,0.0
LDAx2012/CSAgent,1,0.0,0,1,0.0,0.0,1.0,0.0
Benojir/Fogplix-Anime,4,0.0,2,1,0.0,0.0,1.0,2.0
graalvm/graal-languages-demos,0,15.0,1,4,1.0,0.0,-29.6,8.0
vinci-grape/ThinkRepair,0,0.0,1,1,0.0,0.0,1.0,0.0
aws/amazon-q-eclipse,3,312.0,15,19,0.0,0.0,-0.4,332.0
clerk/clerk-sdk-java,18,39.0,2,20,1.0,0.0,-0.1,18.0
NEZNAMY/VelocityScoreboardAPI,9,2.0,0,3,1.0,1.0,-2.55,0.0
Endalion/trackwork,0,5.0,3,2,0.0,0.0,1.0,0.0
LnYo-Cly/ai4j,16,21.0,8,5,0.0,0.0,1.0,57.0
Potion-Studios/Oh-The-Biomes-Weve-Gone,43,25.0,12,6,1.0,0.0,-2.45,0.0
SaiUpadhyayula/spring-boot-3-microservices-course,0,1.0,3,2,0.0,0.0,1.0,0.0
sava-software/sava,0,1.0,0,1,1.0,0.0,-3.8,15.0
52jing/wang-template-backend,0,0.0,0,1,0.0,0.0,1.0,38.0
CDSecLab/MJXT,0,0.0,0,1,0.0,0.0,1.0,0.0
AutoMQ/kafka-provider-comparison,0,1.0,1,2,1.0,0.0,-10.8,38.0
ssquadteam/Earth,0,0.0,0,1,0.0,0.0,1.0,0.0
marcusmonteirodesouza/realworld-backend-spring-boot-java-keycloak-postgresql,0,15.0,0,1,0.0,0.0,1.0,0.0
ssquadteam/Geyser-Anvil-Fix,2,0.0,1,1,0.0,0.0,1.0,0.0
hakdang/cassdio,2,85.0,10,3,1.0,0.0,-2.95,41.0
Bottle-M/PotatoPeeler,2,0.0,0,1,0.0,0.0,1.0,12.0
ifahimkhan/MapApp,0,1.0,0,3,0.0,0.0,1.0,2.0
ITsMrToad/PalladiumMod,0,5.0,3,2,0.0,0.0,1.0,0.0
C0de-cake/whatsapp-clone-backend,0,0.0,0,1,0.0,0.0,1.0,0.0
westwong/westDao,5,0.0,0,1,0.0,0.0,1.0,0.0
7amo10/Complete-Data-Structures-and-Algorithms-tutorial,0,0.0,0,1,0.0,0.0,1.0,0.0
vaccovecrana/frag-falcon,8,0.0,11,2,0.0,0.0,-0.9,0.0
chengpeng-wang/LLMDFA,0,1.0,0,1,0.0,0.0,1.0,0.0
Team-Hankki/hankki-server,1,123.0,9,3,1.0,0.0,-4.550000000000001,0.0
MeteorClientPlus/MeteorPlus,14,1.0,3,5,1.0,0.0,-2.95,0.0
maeddes/hse-24-winter,0,1.0,0,1,0.0,0.0,1.0,0.0
marieemoiselle/CS211-OOP-samples,0,0.0,0,1,0.0,0.0,1.0,0.0
chriskiehl/Data-Oriented-Programming-In-Java-Book,0,0.0,0,1,0.0,0.0,1.0,0.0
aviraxp/Zygisk-KeystoreInjection,0,0.0,2,1,0.0,0.0,-1.4,0.0
tree-sitter/java-tree-sitter,6,12.0,3,2,1.0,1.0,-7.8,134.0
EmbarkXOfficial/spring-security-masterclass,0,0.0,0,1,0.0,0.0,1.0,0.0
kaiachain/kaia-sdk,0,83.0,4,37,1.0,0.0,-10.75,287.0
great-jin/windows-process,3,0.0,0,1,0.0,0.0,1.0,0.0
Aimirim-STI/4diac-Plugin-UAORT,4,0.0,1,3,0.0,0.0,1.0,0.0
Infatoshi/mc-labeller,0,0.0,0,1,0.0,0.0,1.0,0.0
joshlong-attic/2024-bootiful-spring-workshop,0,0.0,0,1,0.0,0.0,1.0,0.0
gufranthakur/CodeLite,1,1.0,0,1,0.0,0.0,1.0,0.0
OmniOneID/did-demo-server,1,14.0,0,2,1.0,0.0,-4.75,0.0
Spigot-Plugin-Development-Tutorial/security-cam,0,0.0,0,1,0.0,0.0,1.0,0.0
ashokitschool/Microservices_Zero_To_Hero,0,2.0,0,1,0.0,0.0,1.0,0.0
FlavorMate/flavormate-server,9,18.0,0,3,1.0,1.0,-3.55,0.0
jiangnanboy/text_security_audit,0,0.0,3,1,0.0,0.0,1.0,0.0
gc-garcol/lmax-disruptor-bank,0,3.0,15,4,0.0,0.0,1.0,0.0
AbdurazaaqMohammed/revanced-antisplit,3,0.0,1,1,0.0,0.0,1.0,0.0
hippietrail/RetroGhidra,0,13.0,0,7,0.0,0.0,1.0,0.0
OMZigak/KKUMER,2,80.0,7,4,1.0,0.0,-3.25,0.0
ThatMG393/legacy-vulkanmod,0,0.0,0,1,0.0,0.0,-1.15,0.0
NabihaShujaat/Wurst,1,0.0,0,1,0.0,0.0,1.0,0.0
hoangsonww/Employee-Management-Fullstack-App,0,4.0,0,4,0.0,0.0,1.0,0.0
czelabueno/langchain4j-workflow-examples,0,0.0,0,1,0.0,0.0,1.0,5.0
AsadiAhmad/Square-root-DC,0,0.0,0,1,0.0,0.0,1.0,0.0
Eve-146T/EVILSPIN,3,2.0,7,2,0.0,0.0,1.0,0.0
HMYDK/AIGitCommit,0,12.0,5,15,0.0,0.0,1.0,0.0
IBM/cbomkit,5,36.0,2,13,1.0,1.0,-5.3,0.0
Jojoooo1/project-assignment,0,1.0,0,8,1.0,0.0,-5.800000000000001,22.0
8MiYile/LSPatch-OP,0,0.0,2,1,1.0,0.0,-4.2,7.0
DancingSnow0517/Minecraft-DG-LAB,32,0.0,0,2,1.0,1.0,-10.4,0.0
Shenzhen-Robotics-Alliance/Maple-Swerve-Skeleton,0,52.0,0,4,1.0,0.0,-2.7,0.0
BacconKam/Minecraft-Vape,0,0.0,0,1,0.0,0.0,1.0,0.0
smithy-lang/smithy-sparrowhawk-java,0,0.0,0,1,0.0,0.0,1.0,4.0
MaleeshaMAdhushanka/CinnaCraftPro-layered,0,0.0,0,1,0.0,0.0,1.0,0.0
lalakii/LaLauncher,3,0.0,0,2,0.0,0.0,1.0,0.0
JavaaTechSolutions/movie-ticket-booking-system,0,0.0,0,1,0.0,0.0,1.0,0.0
chuigda/vulkan4j,1,5.0,12,2,0.0,0.0,-0.15,0.0
Vishwajeet-Londhe/SPPU-CSE-SEM5-Codes,0,1.0,0,1,0.0,0.0,1.0,0.0
Sarthakverse/Jwt-Authentication-Authorization-for-SpringBoot-3.3.0,0,0.0,0,1,0.0,0.0,1.0,0.0
gregsh/parallel-zip,0,0.0,0,1,0.0,0.0,1.0,0.0
unbrraise/Meteor-Client-addons-CH,1,0.0,0,1,0.0,0.0,1.0,0.0
chamithKavinda/Coffee-Shop-POS-JavaEE-Backend,0,0.0,0,1,0.0,0.0,1.0,0.0
algorithm-tools/ad4j,1,7.0,1,1,0.0,0.0,1.0,8.0
Jire/tarnish,0,0.0,2,1,0.0,0.0,1.0,0.0
TEAM-DAWM/NUTSHELL-SERVER,0,68.0,2,21,0.0,0.0,-0.15,0.0
Tencent/nf-tencentcloud,6,0.0,0,2,0.0,0.0,1.0,0.0
Yimura/FridaMgr,5,7.0,2,1,1.0,1.0,-5.3,2.0
pdudits/jakarta-mvc-unpoly,0,0.0,0,2,0.0,0.0,1.0,0.0
laziobird/CodeLLMEval,0,0.0,0,1,0.0,0.0,1.0,15.0
DGVPSH/SlackOpen,15,0.0,5,1,0.0,0.0,1.0,0.0
Saum112/JavaDevInterviewPrep,0,0.0,0,1,0.0,0.0,1.0,0.0
shasankp000/AI-Player,8,1.0,0,1,0.0,0.0,1.0,0.0
hhy50/reflect-linker,0,1.0,0,2,0.0,0.0,1.0,14.0
Nutika16/Bank_Management,0,1.0,1,1,0.0,0.0,1.0,0.0
mvitz/beyond-spring-boot-testing,0,0.0,0,1,0.0,0.0,1.0,2.0
drjeffgeoff/javaprojects,0,1.0,1,1,0.0,0.0,1.0,0.0
SijiaCui/play-urts,0,0.0,0,3,0.0,0.0,1.0,0.0
indrakishore/Developers-Community,0,99.0,36,2,0.0,0.0,1.0,4.0
starobot/LegoClient,0,11.0,0,2,0.0,0.0,1.0,0.0
Rapter1990/todowithcouchbase,0,16.0,0,2,0.0,0.0,-0.9,137.0
wimdeblauwe/vite-spring-boot,6,2.0,0,1,1.0,1.0,-1.8,12.0
BL00DY-C0D3/Echo-VR-Installer,11,7.0,0,6,0.0,0.0,-0.65,0.0
GAME-CLI-SRV-DEV/ViaVersionProtocolSupport,0,8.0,10,7,0.0,0.0,-0.65,0.0
hanhuoer/maa-framework-java,0,0.0,0,3,0.0,0.0,1.0,41.0
DJ-Raven/swing-modal-dialog,7,22.0,0,3,0.0,1.0,-1.25,0.0
stephengold/jolt-jni,15,1.0,0,2,0.0,0.0,-3.15,0.0
FamroFexl/Circumnavigate,8,11.0,4,2,0.0,0.0,1.0,0.0
Azure-Samples/agent-openai-java-banking-assistant,0,2.0,1,2,1.0,1.0,-8.65,0.0
netcorepal/cap4j,2,10.0,15,6,0.0,0.0,-0.9,0.0
Naveenk069/Fitness-Application,0,0.0,0,1,0.0,0.0,1.0,2.0
samuelowino/civic-education,0,1.0,0,1,0.0,0.0,1.0,0.0
JMagician/Magic,0,0.0,3,2,0.0,0.0,1.0,0.0
8ORUZ7/data-structure-and-advance-algorithm,0,0.0,0,1,0.0,0.0,1.0,0.0
zdx0122/playwright-screenshot-api,0,2.0,0,1,0.0,0.0,1.0,0.0
yananhub/flying-gradle-plugin,5,1.0,0,1,0.0,0.0,-1.15,16.0
UniMelb-COMP90018/COMP90018-Tutorials-2024,0,0.0,0,1,0.0,0.0,1.0,24.0
prameswaraandhika/vendor-management-system-rest,0,2.0,0,2,0.0,0.0,1.0,2.0
minecraft8997/TennessineC,3,0.0,0,1,0.0,0.0,1.0,0.0
Konloch/Jaxon,2,0.0,4,1,0.0,0.0,1.0,0.0
kiryu1223/drink,0,0.0,0,1,0.0,0.0,1.0,616.0
liyao-l-y/ICEDroid,0,1.0,0,2,0.0,0.0,1.0,2.0
Micro-STAMP/microstamp,0,75.0,0,7,0.0,0.0,1.0,193.0
SE10-IJSE/SE10-NETWORK-BACKEND,1,23.0,0,11,0.0,0.0,1.0,0.0
kopytovskiy/companero-bot,4,12.0,0,3,0.0,0.0,1.0,0.0
apache/pulsar-java-contrib,0,11.0,1,1,0.0,0.0,-0.65,22.0
depromeet/WalWal-server,24,176.0,4,143,1.0,1.0,-11.7,105.0
Karabosithole/LearnJavaSnakeGame,0,0.0,8,1,0.0,0.0,1.0,0.0
datastaxdevs/conference-2024-devoxx,0,0.0,0,1,0.0,0.0,1.0,0.0
We-Cant-Coding/TACZ-Fabric,6,6.0,6,2,1.0,0.0,-6.800000000000001,0.0
ahmedhussein107/Pupils-Plan-W25,0,1.0,0,1,0.0,0.0,1.0,0.0
hollow-cube/luau-java,3,0.0,2,2,1.0,1.0,-3.05,3.0
rspace-os/rspace-web,9,208.0,33,2,1.0,0.0,-0.7000000000000001,3337.0
rzando-org/GitHub-Chinese-Top-Charts,0,0.0,0,1,0.0,0.0,1.0,0.0
med-united/epa4all,0,42.0,1,14,0.0,0.0,-0.65,54.0
pedroksl/AdvancedAE,79,11.0,12,2,0.0,0.0,0.1,0.0
