repo,score
EasonLyo/sigma,80.0
NovaLogics/skills-training-cli-java,67.5
taoofagi/easegen-admin,60.0
kushanb/oop-lec-2024,30.0
awslabs/s3-tables-catalog,692.5
stephanj/Llama3JavaChatCompletionService,37.5
Jplamo13/Wurst,80.0
coralblocks/CoralQueue,30.0
danvega/spring-boot-oauth-demo,62.5
operaton/operaton,3745.0
adsoftsito/competitive_programming,30.0
danvega/jte-forms,37.5
maeddes/hft-24-winter,30.0
Team254/FRC-2024-Public,30.0
cibseven/cibseven,4737.5
Halfmoonly/feignx-plugin,655.0
Smart-Shaped/chaM3Leon,345.0
jtaccuino/jtaccuino,302.5
Hirun4/music-app,67.5
Arfifias/Equees_men,30.0
ionutbalosin/java-application-security-practices,60.0
mkpaz/devtoolsfx,42.5
DVSR1411/onlinebookstore,30.0
Blueblue1101/SmartFlightCheckInKiosk,37.5
ChHsiching/GitHub-Chinese-Top-Charts,37.5
mamiiblt/instafel-updater,387.5
microsoft/PyRIT-Ship,45.0
Funtimes909/ServerSeekerV2,82.5
langchain4j/langchain4j-community,632.5
singlr-ai/nocaptcha,42.5
eazybytes/event-driven-microservices,30.0
Ayush7-BIT/turbo-robot,5320.0
a8anassis/CF7-Testbed,30.0
RoastSlav/quickdrop,312.5
sionpardosi/Student-Learning-Hub-Aplikasi-Sederhana-Latihan-Belajar-Mahasiswa-Berbasis-JAVA,30.0
anshumansinha3301/Stock-Trading-Simulation,67.5
hamsterbase/Burrow-UI,220.0
coderphonui/jsonautorepair,152.5
GluuFederation/gluu4,917.5
ReSpouted/OldSpoutLauncher,137.5
arya2004/leetcode-daily-october-hacktoberfest-2024,965.0
tzolov/spring-ai-cli-chatbot,30.0
Alireza-Moh/whisperer_for_laravel,650.0
BountySecurity/GBountyProfilesDesigner,192.5
Maharramoff/cross-field-validation,30.0
danvega/java-rag,30.0
AdamBien/best-of-java-shorts,62.5
rewerma/ares,142.5
AxalotLDev/Async,980.0
quarkiverse/quarkus-infinispan-embedded,325.0
JesusMiramontes/Heartbeatrr,30.0
mcbrawls/inject,797.5
pivovarit/more-gatherers,607.5
bowbahdoe/color,330.0
CraftJarvis/ROCKET-1,90.0
anonystick/JAVA-ecommerce-backend-api-MEMBER,75.0
VarunReddyT/Pre-FS,90.0
vishalkrishnaagQwy/VipLang,140.0
KevenJAntenor/Quebec-Centralized-Medical-Record-System,30.0
NisenoShitsu/HololiveDesktop,117.5
danvega/golf-scheduler,30.0
The-Nefarious-Developer/zjoule,705.0
samanL33T/jadx-xvision-plugin,160.0
Liubsyy/VisualClassBytes,80.0
hungnm98/hermes,30.0
alibaba/fluss,2552.5
